week,player,position,salary,own_pct,pts
1,Justin Fields,QB,5400,1.78,29.52
1,Bijan Robinson,RB,8000,10.73,27.4
1,Devon Achane,RB,6900,15.59,16.5
1,Puka Nacua,WR,7600,6.34,26.1
1,Ricky Pearsall,WR,4500,12.57,17.8
1,Emeka Egbuka,WR,4600,25.9,23.6
1,Juwan Johnson,TE,3300,0.81,15.6
1,Jaxon Smith-Njigba,WR,5800,7.54,23.4
1,Broncos,DST,3800,16.76,14
2,Russell Wilson,QB,5100,0.68,34.3
2,Jonathan Taylor,RB,6700,4.2,32.5
2,Christian McCaffrey,RB,7500,39.22,22.7
2,Malik Nabers,WR,7100,6.44,40.7
2,Amon-Ra St. Brown,WR,7000,5.93,42.2
2,Rome Odunze,WR,4800,9.39,34.8
2,Jake Ferguson,TE,3800,6.76,16.8
2,Wandale Robinson,WR,4400,0.64,31.2
2,49ers Defense,DST,3600,3.59,5.0
3,Geno Smith,QB,5200,1.15,26.06
3,Jordan Mason,RB,5400,35.48,26.6
3,Jonathan Taylor,RB,7200,24.07,35.8
3,D.K. Metcalf,WR,5700,9.28,12.2
3,Ricky Pearsall,WR,5500,10.96,22.7
3,Tre Tucker,WR,3400,0.58,43.9
3,Brock Bowers,TE,6000,7.84,9.8
3,Christian McCaffrey,RB,8200,25.47,24
3,Vikings,DST,3400,4.57,30
4,Patrick Mahomes,QB,6000,7.34,27.3
4,Ashton Jeanty,RB,6200,13.59,37.5
4,Bucky Irving,RB,6900,5.18,29.5
4,Puka Nacua,WR,7900,38.34,39
4,Drake London,WR,5700,14.28,28
4,Rome Odunze,WR,6300,29.49,16.9
4,Woody Marks,RB,4400,0.87,27.9
4,Jalen Tonges,TE,3100,0.54,14.8
4,Lions,DST,3500,9.8,19
5,Justin Fields,QB,5600,31.51,25.92
5,Jonathan Taylor,RB,8000,23.12,31.6
5,Breece Hall,RB,5600,30.29,21.5
5,Jaxson Smith-Njigba,WR,7100,22.71,30.2
5,Emeka Egbuka,WR,6900,7.07,34.3
5,Jaylen Waddle,WR,5400,12.75,26
5,Jake Ferguson,TE,4800,30.04,23.9
5,Rico Dowdle,RB,4300,18.01,35.4
5,Saints,DST,2200,15.83,18
6,Drake Maye,QB,5900,12.02,27.24
6,Josh Jacobs,RB,7300,29.77,32
6,Rico Dowdle,RB,5800,37.56,36.9
6,Jaxon Smith-Njigba,WR,7600,25.22,33.2
6,George Pickens,WR,6800,9.51,34.8
6,Kayshon Boutte,WR,3800,1.21,26.3
6,Michael Mayer,TE,3100,4.85,16
6,Kyren Williams,RB,6300,23.72,16.7
