week,score,salary_used,qb_name,qb_salary,qb_own_pct,stack_players,stack_pts,cheapest_name,cheapest_salary,cheapest_own_pct,sub10_count,punt_4k_name,punt_4k_salary,punt_4k_pts
1,193.92,49900,Justin Fields,5400,1.78,2,51,Juwan Johnson,3300,0.81,4,Juwan Johnson,3300,15.6
2,260.2,50000,Russell Wilson,5100,0.68,4,123.7,49ers DST,3600,3.59,8,Jake Ferguson,3800,16.8
3,231.06,50000,Geno Smith,5200,1.15,3,77.7,Tre Tucker,3400,0.58,5,Tre Tucker,3400,43.9
4,239.9,50000,Patrick Mahomes,6000,7.34,2,54.4,Jalen Tonges,3100,0.54,5,Lions DST,3500,19
5,246.82,49900,Justin Fields,5600,31.51,3,71.42,Saints DST,2200,15.83,1,Saints DST,2200,18
6,227.14,49900,Drake Maye,5900,12.02,2,71.7,Michael Mayer,3100,4.85,3,Kayshon Boutte,3800,26.3
7,249.6,,Justin Herbert,6400,6.0,4,131.4,Panthers DST,2500,8.5,4,Gadsden,3300,32.4
8,230.66,49900,Tua Tagovailoa,4800,0.36,2,45.1,Bills DST,3300,2.88,7,Xavier Hutchinson,3700,17.9
9,264.7,50000,Caleb Williams,5700,9.82,4,102.4,Titans DST,2300,1.36,5,Titans DST,2300,20
10,239.62,50000,Baker Mayfield,6200,5.67,5,117.82,Jets DST,2800,3.59,2,Jets DST,2800,19
11,248.98,50000,Jacoby Brissett,4900,14.78,5,147.48,Greg Dortch,3300,8.84,3,Michael Wilson,3800,36.5
12,277.04,,Jameis Winston,4600,3.97,4,204,Browns DST,2900,28.4,2,Henry,3900,27.5
13,205.44,49900,Jacoby Brissett,5800,17.22,2,60.5,Adonai Mitchell,3600,7.66,3,Seahawks DST,3900,30
14,239.34,50000,Josh Allen,7700,14.20,2,78.9,Titans DST,2900,7.98,5,Harold Fannin,3700,28.4
15,236.02,,Jared Goff,6100,3.71,5,198.3,Ben Sinnott,2700,0.77,5,Colby Parkinson,3200,24.5
16,218.2,50000,Justin Herbert,6000,7.01,3,66,Raiders DST,2000,2.74,7,Raiders DST,2000,1
17,218.24,50000,Drake Maye,6800,11.12,3,84.74,Michael Mayer,2500,19.07,3,Giants DST,2900,18
