season,week,score_rank,tag,lineup_score,player,pos,team,salary,proj,actual
2025,2,1,boom,208.7,CeeDee Lamb,WR,DAL,7800,18.9,23.2
2025,2,1,boom,208.7,Malik Nabers,WR,NYG,7100,15.8,40.7
2025,2,1,boom,208.7,De'Von Achane,RB,MIA,6900,15.9,26.2
2025,2,1,boom,208.7,Josh Jacobs,RB,GB,6500,17.7,14.4
2025,2,1,boom,208.7,Jameson Williams,WR,DET,5700,13.0,21.8
2025,2,1,boom,208.7,Russell Wilson,QB,NYG,5100,18.0,34.3
2025,2,1,boom,208.7,Wan'Dale Robinson,WR,NYG,4400,10.4,31.2
2025,2,1,boom,208.7,Juwan Johnson,TE,NO,3600,19.7,15.9
2025,2,1,boom,208.7,IND DST,DST,IND,2600,8.1,1.0
2025,2,2,boom,171.2,CeeDee Lamb,WR,DAL,7800,18.9,23.2
2025,2,2,boom,171.2,Malik Nabers,WR,NYG,7100,15.8,40.7
2025,2,2,boom,171.2,Chase Brown,RB,CIN,6800,17.7,8.5
2025,2,2,boom,171.2,Javonte Williams,RB,DAL,5800,14.3,25.0
2025,2,2,boom,171.2,George Pickens,WR,DAL,5800,12.4,17.8
2025,2,2,boom,171.2,Russell Wilson,QB,NYG,5100,18.0,34.3
2025,2,2,boom,171.2,Sam LaPorta,TE,DET,4800,12.2,5.6
2025,2,2,boom,171.2,Darius Slayton,WR,NYG,3400,17.7,8.1
2025,2,2,boom,171.2,LAR DST,DST,LAR,3100,13.2,8.0
2025,2,3,boom,160.9,Ja'Marr Chase,WR,CIN,8100,18.2,39.5
2025,2,3,boom,160.9,Bucky Irving,RB,TB,7200,15.4,18.1
2025,2,3,boom,160.9,Jameson Williams,WR,DET,5700,13.0,21.8
2025,2,3,boom,160.9,J.K. Dobbins,RB,DEN,5600,11.9,15.5
2025,2,3,boom,160.9,Ricky Pearsall,WR,SF,5300,11.6,9.2
2025,2,3,boom,160.9,Daniel Jones,QB,IND,5200,18.2,25.8
2025,2,3,boom,160.9,Josh Downs,WR,IND,4600,8.8,11.1
2025,2,3,boom,160.9,Tyler Warren,TE,IND,4500,10.6,11.9
2025,2,3,boom,160.9,LAR DST,DST,LAR,3100,13.2,8.0
2025,2,4,game,159.6,CeeDee Lamb,WR,DAL,7800,18.9,23.2
2025,2,4,game,159.6,Christian McCaffrey,RB,SF,7500,19.2,22.7
2025,2,4,game,159.6,Jayden Daniels,QB,WAS,6700,23.2,19.7
2025,2,4,game,159.6,Josh Jacobs,RB,GB,6500,17.7,14.4
2025,2,4,game,159.6,Terry McLaurin,WR,WAS,5900,12.9,9.8
2025,2,4,game,159.6,Zach Ertz,TE,WAS,3900,18.2,18.4
2025,2,4,game,159.6,Troy Franklin,WR,DEN,3700,19.2,24.0
2025,2,4,game,159.6,Tucker Kraft,TE,GB,3700,20.0,27.4
2025,2,4,game,159.6,DEN DST,DST,DEN,3500,9.1,0.0
2025,2,5,boom,153.9,Jahmyr Gibbs,RB,DET,7400,18.4,19.4
2025,2,5,boom,153.9,Amon-Ra St. Brown,WR,DET,7000,15.4,42.2
2025,2,5,boom,153.9,Josh Jacobs,RB,GB,6500,17.7,14.4
2025,2,5,boom,153.9,Kyler Murray,QB,ARI,6400,22.5,15.0
2025,2,5,boom,153.9,Trey McBride,TE,ARI,6000,15.6,13.8
2025,2,5,boom,153.9,Marvin Harrison Jr.,WR,ARI,5800,15.2,4.7
2025,2,5,boom,153.9,Troy Franklin,WR,DEN,3700,19.2,24.0
2025,2,5,boom,153.9,Ja'Tavion Sanders,TE,CAR,3100,9.9,12.4
2025,2,5,boom,153.9,LAR DST,DST,LAR,3100,13.2,8.0
2025,2,6,game,146.7,CeeDee Lamb,WR,DAL,7800,18.9,23.2
2025,2,6,game,146.7,Christian McCaffrey,RB,SF,7500,19.2,22.7
2025,2,6,game,146.7,Jayden Daniels,QB,WAS,6700,23.2,19.7
2025,2,6,game,146.7,Josh Jacobs,RB,GB,6500,17.7,14.4
2025,2,6,game,146.7,Terry McLaurin,WR,WAS,5900,12.9,9.8
2025,2,6,game,146.7,Zach Ertz,TE,WAS,3900,18.2,18.4
2025,2,6,game,146.7,Tucker Kraft,TE,GB,3700,20.0,27.4
2025,2,6,game,146.7,Jalen Nailor,WR,MIN,3700,21.7,6.1
2025,2,6,game,146.7,SF DST,DST,SF,3600,9.2,5.0
2025,2,7,boom,142.0,Derrick Henry,RB,BAL,8200,17.9,2.3
2025,2,7,boom,142.0,Amon-Ra St. Brown,WR,DET,7000,15.4,42.2
2025,2,7,boom,142.0,Lamar Jackson,QB,BAL,7000,23.3,26.3
2025,2,7,boom,142.0,Zay Flowers,WR,BAL,6200,15.7,14.9
2025,2,7,boom,142.0,Tony Pollard,RB,TEN,5900,15.5,9.2
2025,2,7,boom,142.0,Rashod Bateman,WR,BAL,4600,9.7,3.5
2025,2,7,boom,142.0,Cedric Tillman,WR,CLE,4300,10.5,10.2
2025,2,7,boom,142.0,Tucker Kraft,TE,GB,3700,20.0,27.4
2025,2,7,boom,142.0,PIT DST,DST,PIT,3100,8.5,6.0
2025,2,8,boom,141.0,Derrick Henry,RB,BAL,8200,17.9,2.3
2025,2,8,boom,141.0,Amon-Ra St. Brown,WR,DET,7000,15.4,42.2
2025,2,8,boom,141.0,D'Andre Swift,RB,CHI,5700,12.4,14.9
2025,2,8,boom,141.0,D.J. Moore,WR,CHI,5600,13.0,9.6
2025,2,8,boom,141.0,Caleb Williams,QB,CHI,5400,19.4,18.0
2025,2,8,boom,141.0,Keon Coleman,WR,BUF,5100,12.4,5.6
2025,2,8,boom,141.0,Rome Odunze,WR,CHI,4800,12.3,34.8
2025,2,8,boom,141.0,Sam LaPorta,TE,DET,4800,12.2,5.6
2025,2,8,boom,141.0,LAR DST,DST,LAR,3100,13.2,8.0
2025,2,9,boom,140.0,Justin Jefferson,WR,MIN,7700,18.6,11.1
2025,2,9,boom,140.0,Jahmyr Gibbs,RB,DET,7400,18.4,19.4
2025,2,9,boom,140.0,Ashton Jeanty,RB,LV,7000,14.9,7.4
2025,2,9,boom,140.0,Javonte Williams,RB,DAL,5800,14.3,25.0
2025,2,9,boom,140.0,Caleb Williams,QB,CHI,5400,19.4,18.0
2025,2,9,boom,140.0,Chris Olave,WR,NO,4900,12.4,11.4
2025,2,9,boom,140.0,Rome Odunze,WR,CHI,4800,12.3,34.8
2025,2,9,boom,140.0,Cole Kmet,TE,CHI,3200,15.2,4.9
