season,week,k3_selected_max,k1_selected_max,k1_minus_k3,k3_pool_oracle,k1_pool_oracle,k3_regret,k1_regret
2019,1,177.56,191.62,14.06,184.12,191.62,6.56,0.0
2019,2,169.14,176.48,7.34,190.62,176.48,21.48,0.0
2019,3,192.64,212.84,20.2,192.64,212.84,0.0,0.0
2019,4,190.44,223.78,33.34,190.44,223.78,0.0,0.0
2019,5,265.44,265.14,-0.3,265.44,265.14,0.0,0.0
2019,6,188.54,190.5,1.96,204.44,204.44,15.9,13.94
2019,7,198.94,181.66,-17.28,198.94,181.66,0.0,0.0
2019,8,191.68,221.3,29.62,191.68,221.3,0.0,0.0
2019,9,180.9,217.32,36.42,216.42,218.92,35.52,1.6
2019,10,185.64,185.94,0.3,191.56,201.14,5.92,15.2
2019,11,161.94,160.46,-1.48,161.94,160.46,0.0,0.0
2019,12,168.78,169.44,0.66,168.78,169.44,0.0,0.0
2019,13,150.56,145.3,-5.26,150.56,145.3,0.0,0.0
2019,14,196.86,180.04,-16.82,196.86,198.54,0.0,18.5
2019,15,204.66,190.36,-14.3,207.14,200.36,2.48,10.0
2019,16,198.86,198.86,0.0,198.86,198.86,0.0,0.0
2019,17,179.02,170.3,-8.72,179.02,170.3,0.0,0.0
2021,1,175.48,182.28,6.8,180.78,186.98,5.3,4.7
2021,2,169.6,173.9,4.3,180.92,182.32,11.32,8.42
2021,3,194.02,179.52,-14.5,194.02,179.52,0.0,0.0
2021,4,196.88,193.6,-3.28,196.88,215.38,0.0,21.78
2021,5,202.72,202.72,0.0,202.72,202.72,0.0,0.0
2021,6,185.9,171.96,-13.94,185.9,171.96,0.0,0.0
2021,7,183.76,183.76,0.0,191.26,191.26,7.5,7.5
2021,8,155.1,175.56,20.46,155.1,175.56,0.0,0.0
2021,9,178.04,161.34,-16.7,178.04,161.34,0.0,0.0
2021,10,145.64,155.34,9.7,145.64,155.34,0.0,0.0
2021,11,198.4,199.7,1.3,205.2,199.7,6.8,0.0
2021,12,172.2,161.84,-10.36,172.2,161.84,0.0,0.0
2021,13,173.76,174.74,0.98,173.76,174.74,0.0,0.0
2021,14,170.52,168.82,-1.7,170.52,168.82,0.0,0.0
2021,15,133.48,150.82,17.34,133.48,150.82,0.0,0.0
2021,16,181.1,171.4,-9.7,181.1,171.4,0.0,0.0
2021,17,209.94,191.74,-18.2,209.94,191.74,0.0,0.0
2021,18,176.92,178.82,1.9,194.12,194.12,17.2,15.3
2022,1,177.92,177.0,-0.92,177.92,177.0,0.0,0.0
2022,2,176.76,193.28,16.52,176.76,193.28,0.0,0.0
2022,3,167.32,152.72,-14.6,167.32,152.72,0.0,0.0
2022,4,182.52,166.94,-15.58,182.52,166.94,0.0,0.0
2022,5,166.26,179.86,13.6,170.46,179.86,4.2,0.0
2022,6,156.7,166.8,10.1,158.16,167.16,1.46,0.36
2022,7,167.42,194.14,26.72,169.92,194.14,2.5,0.0
2022,8,185.58,178.64,-6.94,191.94,189.5,6.36,10.86
2022,9,177.22,201.08,23.86,177.22,201.08,0.0,0.0
2022,10,173.84,171.62,-2.22,182.2,174.6,8.36,2.98
2022,11,134.04,152.98,18.94,139.4,152.98,5.36,0.0
2022,12,181.84,186.92,5.08,181.84,186.92,0.0,0.0
2022,13,171.7,171.7,0.0,171.7,171.7,0.0,0.0
2022,14,214.02,205.02,-9.0,214.02,214.52,0.0,9.5
2022,15,172.6,177.14,4.54,172.6,177.14,0.0,0.0
2022,16,188.7,168.5,-20.2,188.7,168.5,0.0,0.0
2022,17,177.28,202.18,24.9,177.28,202.18,0.0,0.0
2022,18,137.06,128.22,-8.84,137.06,130.06,0.0,1.84
2023,1,179.2,193.54,14.34,188.24,193.54,9.04,0.0
2023,2,167.82,160.56,-7.26,167.82,160.56,0.0,0.0
2023,3,212.38,197.36,-15.02,212.38,197.54,0.0,0.18
2023,4,172.3,197.5,25.2,192.3,197.5,20.0,0.0
2023,5,170.64,192.08,21.44,170.64,192.08,0.0,0.0
2023,6,168.92,171.58,2.66,168.92,171.58,0.0,0.0
