replicate,projection_seed,role_seed,source
R0,0,7331,existing-phase-s
R1,1137260708,2690847602,existing-phase-s
R2,2875959182,1630284992,existing-phase-s
R3,253722715,3374646876,existing-phase-s
R4,1643280042,3977633467,existing-phase-s
R5,1008341939,3065488546,sha256-first32be
R6,2298724953,1248858882,sha256-first32be
R7,2741959055,3832747538,sha256-first32be
R8,1383544121,393595846,sha256-first32be
R9,1296141894,188172508,sha256-first32be
R10,318852818,2394406169,sha256-first32be
R11,230622132,632951322,sha256-first32be
R12,1099478988,1770114226,sha256-first32be
R13,2108194226,4192488917,sha256-first32be
R14,3994009900,189834817,sha256-first32be
R15,3022306882,3490116366,sha256-first32be
R16,2480474526,1673633030,sha256-first32be
R17,4262980531,2307218042,sha256-first32be
R18,1477322985,4094341335,sha256-first32be
R19,3672148476,4200411657,sha256-first32be
R20,2495525132,4240411669,sha256-first32be
R21,3177932423,305278779,sha256-first32be
R22,789352189,1130120659,sha256-first32be
R23,2344826226,1614779396,sha256-first32be
R24,1238742662,3544702665,sha256-first32be
R25,323807465,3877854456,sha256-first32be
R26,1351445832,194849916,sha256-first32be
R27,3693435268,1163689673,sha256-first32be
R28,157986711,774300850,sha256-first32be
R29,2265087470,3170471874,sha256-first32be
R30,2346760875,2420330956,sha256-first32be
R31,2068589994,70034873,sha256-first32be
R32,2734938747,857843870,sha256-first32be
R33,371945618,935634311,sha256-first32be
R34,3733503647,410945816,sha256-first32be
R35,3738953472,1911599283,sha256-first32be
R36,4090059508,1771412051,sha256-first32be
R37,1546219481,3220183498,sha256-first32be
R38,2188827790,3528383159,sha256-first32be
R39,3380264356,3108134825,sha256-first32be
R40,1683411896,3805053265,sha256-first32be
R41,2772741321,740548911,sha256-first32be
R42,2826672506,2499351581,sha256-first32be
R43,1477953313,2362796835,sha256-first32be
R44,3745869385,3435959109,sha256-first32be
R45,3364897185,1026751434,sha256-first32be
R46,648053196,909318350,sha256-first32be
R47,752562692,3920831091,sha256-first32be
R48,1899573997,2007311631,sha256-first32be
R49,1679953017,1207806763,sha256-first32be
