ordinal,season,week,pool_ceiling,pool_tail194,cap200|fp-off-sis-off-v1:admitted,cap200|fp-off-sis-off-v1:feasible,cap200|fp-off-sis-off-v1:ceiling,cap200|fp-off-sis-off-v1:ceil194,cap200|fp-off-sis-off-v1:k20_max,cap200|fp-off-sis-off-v1:k20_neg_best_pct,cap200|fp-off-sis-off-v1:k20_ge194,cap200|fp-off-sis-off-v1:k40_max,cap200|fp-off-sis-off-v1:k40_neg_best_pct,cap200|fp-off-sis-off-v1:k40_ge194,cap200|fp-off-sis-off-v1:k80_max,cap200|fp-off-sis-off-v1:k80_neg_best_pct,cap200|fp-off-sis-off-v1:k80_ge194,cap200|fp-on-sis-on-v1:admitted,cap200|fp-on-sis-on-v1:feasible,cap200|fp-on-sis-on-v1:ceiling,cap200|fp-on-sis-on-v1:ceil194,cap200|fp-on-sis-on-v1:k20_max,cap200|fp-on-sis-on-v1:k20_neg_best_pct,cap200|fp-on-sis-on-v1:k20_ge194,cap200|fp-on-sis-on-v1:k40_max,cap200|fp-on-sis-on-v1:k40_neg_best_pct,cap200|fp-on-sis-on-v1:k40_ge194,cap200|fp-on-sis-on-v1:k80_max,cap200|fp-on-sis-on-v1:k80_neg_best_pct,cap200|fp-on-sis-on-v1:k80_ge194,cap400|fp-off-sis-off-v1:admitted,cap400|fp-off-sis-off-v1:feasible,cap400|fp-off-sis-off-v1:ceiling,cap400|fp-off-sis-off-v1:ceil194,cap400|fp-off-sis-off-v1:k20_max,cap400|fp-off-sis-off-v1:k20_neg_best_pct,cap400|fp-off-sis-off-v1:k20_ge194,cap400|fp-off-sis-off-v1:k40_max,cap400|fp-off-sis-off-v1:k40_neg_best_pct,cap400|fp-off-sis-off-v1:k40_ge194,cap400|fp-off-sis-off-v1:k80_max,cap400|fp-off-sis-off-v1:k80_neg_best_pct,cap400|fp-off-sis-off-v1:k80_ge194,cap400|fp-on-sis-on-v1:admitted,cap400|fp-on-sis-on-v1:feasible,cap400|fp-on-sis-on-v1:ceiling,cap400|fp-on-sis-on-v1:ceil194,cap400|fp-on-sis-on-v1:k20_max,cap400|fp-on-sis-on-v1:k20_neg_best_pct,cap400|fp-on-sis-on-v1:k20_ge194,cap400|fp-on-sis-on-v1:k40_max,cap400|fp-on-sis-on-v1:k40_neg_best_pct,cap400|fp-on-sis-on-v1:k40_ge194,cap400|fp-on-sis-on-v1:k80_max,cap400|fp-on-sis-on-v1:k80_neg_best_pct,cap400|fp-on-sis-on-v1:k80_ge194,cap800|fp-off-sis-off-v1:admitted,cap800|fp-off-sis-off-v1:feasible,cap800|fp-off-sis-off-v1:ceiling,cap800|fp-off-sis-off-v1:ceil194,cap800|fp-off-sis-off-v1:k20_max,cap800|fp-off-sis-off-v1:k20_neg_best_pct,cap800|fp-off-sis-off-v1:k20_ge194,cap800|fp-off-sis-off-v1:k40_max,cap800|fp-off-sis-off-v1:k40_neg_best_pct,cap800|fp-off-sis-off-v1:k40_ge194,cap800|fp-off-sis-off-v1:k80_max,cap800|fp-off-sis-off-v1:k80_neg_best_pct,cap800|fp-off-sis-off-v1:k80_ge194,cap800|fp-on-sis-on-v1:admitted,cap800|fp-on-sis-on-v1:feasible,cap800|fp-on-sis-on-v1:ceiling,cap800|fp-on-sis-on-v1:ceil194,cap800|fp-on-sis-on-v1:k20_max,cap800|fp-on-sis-on-v1:k20_neg_best_pct,cap800|fp-on-sis-on-v1:k20_ge194,cap800|fp-on-sis-on-v1:k40_max,cap800|fp-on-sis-on-v1:k40_neg_best_pct,cap800|fp-on-sis-on-v1:k40_ge194,cap800|fp-on-sis-on-v1:k80_max,cap800|fp-on-sis-on-v1:k80_neg_best_pct,cap800|fp-on-sis-on-v1:k80_ge194,capall|fp-off-sis-off-v1:admitted,capall|fp-off-sis-off-v1:feasible,capall|fp-off-sis-off-v1:ceiling,capall|fp-off-sis-off-v1:ceil194,capall|fp-off-sis-off-v1:k20_max,capall|fp-off-sis-off-v1:k20_neg_best_pct,capall|fp-off-sis-off-v1:k20_ge194,capall|fp-off-sis-off-v1:k40_max,capall|fp-off-sis-off-v1:k40_neg_best_pct,capall|fp-off-sis-off-v1:k40_ge194,capall|fp-off-sis-off-v1:k80_max,capall|fp-off-sis-off-v1:k80_neg_best_pct,capall|fp-off-sis-off-v1:k80_ge194,capall|fp-on-sis-on-v1:admitted,capall|fp-on-sis-on-v1:feasible,capall|fp-on-sis-on-v1:ceiling,capall|fp-on-sis-on-v1:ceil194,capall|fp-on-sis-on-v1:k20_max,capall|fp-on-sis-on-v1:k20_neg_best_pct,capall|fp-on-sis-on-v1:k20_ge194,capall|fp-on-sis-on-v1:k40_max,capall|fp-on-sis-on-v1:k40_neg_best_pct,capall|fp-on-sis-on-v1:k40_ge194,capall|fp-on-sis-on-v1:k80_max,capall|fp-on-sis-on-v1:k80_neg_best_pct,capall|fp-on-sis-on-v1:k80_ge194,tail200|fp-on-sis-on-v1:admitted,tail200|fp-on-sis-on-v1:feasible,tail200|fp-on-sis-on-v1:ceiling,tail200|fp-on-sis-on-v1:ceil194,tail200|fp-on-sis-on-v1:k20_max,tail200|fp-on-sis-on-v1:k20_neg_best_pct,tail200|fp-on-sis-on-v1:k20_ge194,tail200|fp-on-sis-on-v1:k40_max,tail200|fp-on-sis-on-v1:k40_neg_best_pct,tail200|fp-on-sis-on-v1:k40_ge194,tail200|fp-on-sis-on-v1:k80_max,tail200|fp-on-sis-on-v1:k80_neg_best_pct,tail200|fp-on-sis-on-v1:k80_ge194
0,2023,1,187.3,3815,200,1,182.74,0,157.34,-0.050145,0,157.34,-0.050145,0,163.36,-0.02952,0,200,1,164.14,0,158.04,-0.04728,0,158.04,-0.04728,0,164.14,-0.027385,0,400,1,182.74,0,157.34,-0.050145,0,160.84,-0.03696,0,160.84,-0.03696,0,400,1,171.16,0,158.24,-0.046535,0,158.24,-0.046535,0,158.24,-0.046535,0,800,1,182.74,0,150.14,-0.08793,0,157.34,-0.050145,0,160.84,-0.03696,0,800,1,182.74,0,152.44,-0.07439,0,170.54,-0.01459,0,170.54,-0.01459,0,905,1,182.74,0,150.14,-0.08793,0,157.34,-0.050145,0,160.84,-0.03696,0,3804,1,187.3,0,152.44,-0.07439,0,152.44,-0.07439,0,170.54,-0.01459,0,200,1,170.54,0,152.44,-0.07439,0,152.44,-0.07439,0,170.54,-0.01459,0
1,2023,2,197.24,3835,200,1,180.72,0,172.78,-0.01724,0,180.72,-0.006965,0,180.72,-0.006965,0,200,1,180.72,0,156.92,-0.07654,0,173.74,-0.015515,0,180.72,-0.006965,0,400,1,182.88,0,157.72,-0.071905,0,172.78,-0.01724,0,172.78,-0.01724,0,400,1,182.88,0,176.12,-0.012075,0,180.72,-0.006965,0,180.72,-0.006965,0,800,1,182.88,0,176.12,-0.012075,0,176.12,-0.012075,0,176.12,-0.012075,0,800,1,197.24,1,160.72,-0.05551,0,176.12,-0.012075,0,197.24,-0.000575,1,1139,1,182.88,0,157.1,-0.07557,0,176.12,-0.012075,0,176.12,-0.012075,0,3718,1,197.24,1,153.58,-0.099565,0,153.58,-0.099565,0,176.12,-0.012075,0,200,1,160.72,0,153.58,-0.099565,0,153.58,-0.099565,0,157.1,-0.07557,0
2,2023,3,242.36,3648,200,1,225.18,1,208.66,-0.013325,1,208.66,-0.013325,1,208.66,-0.013325,1,200,1,206.56,1,206.56,-0.015665,1,206.56,-0.015665,1,206.56,-0.015665,1,400,1,225.18,1,208.66,-0.013325,1,208.66,-0.013325,1,224.26,-0.00362,1,400,1,208.46,1,206.56,-0.015665,1,206.56,-0.015665,1,206.56,-0.015665,1,800,1,225.18,1,208.66,-0.013325,1,208.66,-0.013325,1,214.96,-0.008055,1,800,1,226.84,1,226.84,-0.002855,1,226.84,-0.002855,1,226.84,-0.002855,1,894,1,225.18,1,208.66,-0.013325,1,208.66,-0.013325,1,214.96,-0.008055,1,3399,1,242.36,1,226.84,-0.002855,1,226.84,-0.002855,1,242.36,-0.000515,1,200,1,242.36,1,226.84,-0.002855,1,226.84,-0.002855,1,242.36,-0.000515,1
3,2023,4,241.1,3575,200,1,200.86,1,184.62,-0.02987,0,199.48,-0.00869,1,199.48,-0.00869,1,200,1,202.3,1,202.3,-0.00664,1,202.3,-0.00664,1,202.3,-0.00664,1,400,1,200.86,1,196.7,-0.011065,1,196.7,-0.011065,1,196.7,-0.011065,1,400,1,218.7,1,184.22,-0.030785,0,218.7,-0.00122,1,218.7,-0.00122,1,767,1,200.86,1,196.7,-0.011065,1,196.7,-0.011065,1,196.7,-0.011065,1,800,1,218.7,1,218.7,-0.00122,1,218.7,-0.00122,1,218.7,-0.00122,1,767,1,200.86,1,196.7,-0.011065,1,196.7,-0.011065,1,196.7,-0.011065,1,3327,1,241.1,1,155.56,-0.17379,0,218.7,-0.00122,1,218.7,-0.00122,1,200,1,241.1,1,196.7,-0.011065,1,218.7,-0.00122,1,241.1,-7e-05,1
4,2023,5,204.24,3593,200,1,201.88,1,175.88,-0.14313,0,175.88,-0.14313,0,201.88,-0.02424,1,200,1,179.58,0,174.06,-0.15737,0,174.06,-0.15737,0,174.06,-0.15737,0,400,1,201.88,1,171.08,-0.18355,0,175.88,-0.14313,0,185.84,-0.079425,0,400,1,190.98,0,159.98,-0.30315,0,174.06,-0.15737,0,179.48,-0.117655,0,800,1,201.88,1,171.08,-0.18355,0,175.88,-0.14313,0,175.88,-0.14313,0,800,1,201.86,1,159.98,-0.30315,0,168.38,-0.209525,0,170.04,-0.192895,0,1090,1,204.24,1,171.08,-0.18355,0,171.08,-0.18355,0,175.88,-0.14313,0,3586,1,204.24,1,159.98,-0.30315,0,159.98,-0.30315,0,160.36,-0.298195,0,200,1,179.58,0,159.98,-0.30315,0,159.98,-0.30315,0,166.98,-0.22385,0
5,2023,6,177.58,3593,200,1,177.58,0,150.98,-0.160035,0,177.58,-0.0118,0,177.58,-0.0118,0,200,1,176.48,0,154.88,-0.12026,0,176.48,-0.01357,0,176.48,-0.01357,0,400,1,177.58,0,160.08,-0.078355,0,160.08,-0.078355,0,177.58,-0.0118,0,400,1,177.58,0,154.88,-0.12026,0,154.88,-0.12026,0,177.58,-0.0118,0,741,1,177.58,0,142.58,-0.27129,0,142.58,-0.27129,0,151.28,-0.15641,0,800,1,177.58,0,142.58,-0.27129,0,154.88,-0.12026,0,162.58,-0.062515,0,741,1,177.58,0,142.58,-0.27129,0,142.58,-0.27129,0,151.28,-0.15641,0,3415,1,177.58,0,165.38,-0.04768,0,165.38,-0.04768,0,165.38,-0.04768,0,200,1,177.58,0,165.38,-0.04768,0,165.38,-0.04768,0,165.38,-0.04768,0
6,2023,7,206.66,3650,200,1,182.96,0,182.96,-0.003785,0,182.96,-0.003785,0,182.96,-0.003785,0,200,1,183.86,0,153.26,-0.075005,0,183.86,-0.0034,0,183.86,-0.0034,0,400,1,183.88,0,165.96,-0.02558,0,182.96,-0.003785,0,183.88,-0.003395,0,400,1,183.86,0,153.16,-0.075575,0,183.86,-0.0034,0,183.86,-0.0034,0,798,1,189.46,0,152.16,-0.081125,0,156.66,-0.057655,0,182.96,-0.003785,0,800,1,183.88,0,150.66,-0.09038,0,183.86,-0.0034,0,183.88,-0.003395,0,798,1,189.46,0,152.16,-0.081125,0,156.66,-0.057655,0,182.96,-0.003785,0,3257,1,206.66,1,167.46,-0.021825,0,167.46,-0.021825,0,177.18,-0.00789,0,200,1,183.86,0,179.5,-0.0058,0,179.5,-0.0058,0,179.5,-0.0058,0
7,2023,8,220.86,3678,200,1,183.16,0,148.88,-0.27413,0,183.16,-0.025255,0,183.16,-0.025255,0,200,1,177.56,0,163.4,-0.12119,0,163.4,-0.12119,0,163.4,-0.12119,0,400,1,183.16,0,148.88,-0.27413,0,150.6,-0.25219,0,183.16,-0.025255,0,400,1,177.56,0,163.4,-0.12119,0,163.4,-0.12119,0,172.88,-0.06167,0,800,1,207.7,1,178.28,-0.03918,0,178.28,-0.03918,0,182.9,-0.02591,0,800,1,220.86,1,154.2,-0.209555,0,154.2,-0.209555,0,170.96,-0.071515,0,1008,1,207.7,1,178.28,-0.03918,0,178.28,-0.03918,0,178.28,-0.03918,0,3565,1,220.86,1,164.36,-0.11359,0,174.02,-0.05628,0,186.52,-0.01851,0,200,1,187.36,0,164.36,-0.11359,0,178.28,-0.03918,0,186.52,-0.01851,0
8,2023,9,229.6,3723,200,1,206.3,1,204.5,-0.000595,1,206.3,-0.00046,1,206.3,-0.00046,1,200,1,206.3,1,186.0,-0.005245,0,206.3,-0.00046,1,206.3,-0.00046,1,400,1,206.3,1,176.0,-0.014325,0,204.5,-0.000595,1,206.3,-0.00046,1,400,1,229.6,1,169.16,-0.026865,0,191.4,-0.002865,0,206.3,-0.00046,1,800,1,206.3,1,176.0,-0.014325,0,176.0,-0.014325,0,204.5,-0.000595,1,800,1,229.6,1,176.0,-0.014325,0,176.0,-0.014325,0,221.3,-6e-05,1,851,1,206.3,1,176.0,-0.014325,0,176.0,-0.014325,0,204.5,-0.000595,1,3210,1,229.6,1,176.9,-0.013035,0,176.9,-0.013035,0,176.9,-0.013035,0,200,1,186.0,0,176.9,-0.013035,0,176.9,-0.013035,0,186.0,-0.005245,0
9,2023,10,216.06,3575,200,1,206.66,1,192.56,-0.01519,0,206.66,-0.003795,1,206.66,-0.003795,1,200,1,188.06,0,179.06,-0.04782,0,181.74,-0.038855,0,182.26,-0.037295,0,400,1,206.66,1,192.56,-0.01519,0,206.66,-0.003795,1,206.66,-0.003795,1,400,1,209.44,1,209.44,-0.002745,1,209.44,-0.002745,1,209.44,-0.002745,1,706,1,206.66,1,192.56,-0.01519,0,206.66,-0.003795,1,206.66,-0.003795,1,800,1,209.44,1,206.66,-0.003795,1,206.66,-0.003795,1,206.72,-0.003775,1,706,1,206.66,1,192.56,-0.01519,0,206.66,-0.003795,1,206.66,-0.003795,1,2833,1,216.06,1,216.06,-0.00132,1,216.06,-0.00132,1,216.06,-0.00132,1,200,1,216.06,1,216.06,-0.00132,1,216.06,-0.00132,1,216.06,-0.00132,1
