season,week,score_rank,tag,entry_ix,lineup_score,player,pos,team,salary,proj,actual
2024,4,67,boom,27,129.3,ARI DST,DST,ARI,2800,7.4,-2.0
2024,4,99,boom,11,116.8,ARI DST,DST,ARI,2800,7.4,-2.0
2024,4,122,boom,74,109.2,ARI DST,DST,ARI,2800,7.4,-2.0
2024,4,124,boom,24,108.7,ARI DST,DST,ARI,2800,7.4,-2.0
2024,4,146,boom,65,88.4,ARI DST,DST,ARI,2800,7.4,-2.0
2024,5,6,boom,23,183.1,ARI DST,DST,ARI,2300,4.1,8.0
2024,5,59,boom,21,132.1,ARI DST,DST,ARI,2300,4.1,8.0
2024,9,8,boom,79,154.8,ARI DST,DST,ARI,2600,7.4,10.0
2024,9,54,boom,39,130.3,ARI DST,DST,ARI,2600,7.4,10.0
2024,9,69,boom,25,125.2,ARI DST,DST,ARI,2600,7.4,10.0
2024,9,90,boom,41,117.1,ARI DST,DST,ARI,2600,7.4,10.0
2024,9,92,boom,20,115.5,ARI DST,DST,ARI,2600,7.4,10.0
2024,10,79,lev,54,147.4,ARI DST,DST,ARI,2900,5.7,12.0
2024,13,1,boom,9,190.7,ARI DST,DST,ARI,2400,5.8,7.0
2024,14,16,lev,132,159.1,ARI DST,DST,ARI,3000,7.2,-1.0
2024,14,43,lev,128,144.4,ARI DST,DST,ARI,3000,7.2,-1.0
2024,14,83,lev,127,132.0,ARI DST,DST,ARI,3000,7.2,-1.0
2024,14,122,lev,145,111.7,ARI DST,DST,ARI,3000,7.2,-1.0
2024,15,46,boom,16,134.4,ARI DST,DST,ARI,3000,8.2,5.0
2024,1,5,lev,130,161.9,Elijah Higgins,TE,ARI,2800,8.9,3.2
2024,1,12,lev,15,148.1,Elijah Higgins,TE,ARI,2800,8.9,3.2
2024,1,30,lev,47,135.7,Elijah Higgins,TE,ARI,2800,8.9,3.2
2024,1,39,lev,102,128.8,Elijah Higgins,TE,ARI,2800,8.9,3.2
2024,1,46,lev,100,126.0,Elijah Higgins,TE,ARI,2800,8.9,3.2
2024,2,16,game,65,138.3,Elijah Higgins,TE,ARI,2500,9.7,8.8
2024,3,100,boom,12,110.2,Elijah Higgins,TE,ARI,2600,9.7,2.1
2024,4,60,lev,55,133.1,Elijah Higgins,TE,ARI,3100,12.4,3.2
2024,4,83,lev,44,122.6,Elijah Higgins,TE,ARI,3100,12.4,3.2
2024,4,113,lev,79,112.2,Elijah Higgins,TE,ARI,3100,12.4,3.2
2024,4,123,boom,39,109.1,Elijah Higgins,TE,ARI,3100,12.4,3.2
2024,4,130,lev,76,105.6,Elijah Higgins,TE,ARI,3100,12.4,3.2
2024,4,145,lev,110,88.5,Elijah Higgins,TE,ARI,3100,12.4,3.2
2024,5,122,dark,45,106.8,Elijah Higgins,TE,ARI,3300,13.1,7.2
2024,5,123,boom,66,106.8,Elijah Higgins,TE,ARI,3300,13.1,7.2
2024,7,91,boom,37,127.1,Elijah Higgins,TE,ARI,2700,9.9,1.1
2024,9,149,boom,50,90.9,Elijah Higgins,TE,ARI,2900,9.1,5.4
2024,10,128,boom,62,97.5,Elijah Higgins,TE,ARI,2900,9.2,3.3
2024,12,124,boom,62,98.4,Elijah Higgins,TE,ARI,2800,10.5,1.5
2024,12,126,boom,30,98.0,Elijah Higgins,TE,ARI,2800,10.5,1.5
2024,13,109,boom,30,103.6,Elijah Higgins,TE,ARI,2500,9.1,4.3
2024,15,142,boom,45,85.4,Elijah Higgins,TE,ARI,2500,10.1,1.5
2024,17,95,boom,61,155.5,Elijah Higgins,TE,ARI,2500,8.9,4.3
2024,17,122,boom,23,127.8,Elijah Higgins,TE,ARI,2500,8.9,4.3
2024,4,32,lev,148,141.9,Emari Demercado,RB,ARI,4000,11.2,3.4
2024,4,50,lev,123,135.9,Emari Demercado,RB,ARI,4000,11.2,3.4
2024,4,82,lev,99,123.0,Emari Demercado,RB,ARI,4000,11.2,3.4
2024,4,94,lev,108,118.3,Emari Demercado,RB,ARI,4000,11.2,3.4
2024,4,125,game,149,107.7,Emari Demercado,RB,ARI,4000,11.2,3.4
2024,4,137,lev,150,98.7,Emari Demercado,RB,ARI,4000,11.2,3.4
2024,7,124,boom,7,104.1,Emari Demercado,RB,ARI,4000,13.1,1.4
2024,7,134,game,75,94.4,Emari Demercado,RB,ARI,4000,13.1,1.4
2024,7,142,game,118,87.6,Emari Demercado,RB,ARI,4000,13.1,1.4
2024,10,121,boom,79,104.9,Emari Demercado,RB,ARI,4600,3.2,2.2
2024,1,1,lev,54,180.4,Greg Dortch,WR,ARI,3900,17.8,11.1
2024,1,3,lev,117,167.2,Greg Dortch,WR,ARI,3900,17.8,11.1
2024,1,4,lev,75,163.8,Greg Dortch,WR,ARI,3900,17.8,11.1
2024,1,5,lev,130,161.9,Greg Dortch,WR,ARI,3900,17.8,11.1
2024,1,11,lev,148,148.3,Greg Dortch,WR,ARI,3900,17.8,11.1
2024,1,12,lev,15,148.1,Greg Dortch,WR,ARI,3900,17.8,11.1
2024,1,17,dark,17,145.0,Greg Dortch,WR,ARI,3900,17.8,11.1
2024,1,18,lev,76,145.0,Greg Dortch,WR,ARI,3900,17.8,11.1
2024,1,20,game,13,141.2,Greg Dortch,WR,ARI,3900,17.8,11.1
2024,1,21,boom,7,140.9,Greg Dortch,WR,ARI,3900,17.8,11.1
2024,1,22,lev,19,140.3,Greg Dortch,WR,ARI,3900,17.8,11.1
2024,1,24,dark,5,139.0,Greg Dortch,WR,ARI,3900,17.8,11.1
2024,1,28,lev,39,136.9,Greg Dortch,WR,ARI,3900,17.8,11.1
2024,1,29,game,104,136.8,Greg Dortch,WR,ARI,3900,17.8,11.1
2024,1,30,lev,47,135.7,Greg Dortch,WR,ARI,3900,17.8,11.1
2024,1,31,lev,114,134.8,Greg Dortch,WR,ARI,3900,17.8,11.1
