objective,cap,n,sim_Emax,sim_P194,realized_max,realized_mean,dEmax_vs_delivered,dRealizedMax_vs_delivered
dual_emax,none,97,203.45,0.646,157.96,98.4,0.0,0.0
dual_emax,40%,97,203.15,0.6425,184.54,102.98,-0.3,26.58
dual_emax,35%,97,202.84,0.6385,184.54,105.99,-0.61,26.58
dual_emax,30%,97,202.46,0.6321,184.54,108.56,-0.99,26.58
dual_emax,25%,97,201.75,0.619,184.54,109.75,-1.7,26.58
dual_emax,20%,97,200.92,0.6036,184.54,113.53,-2.53,26.58
dual_emax,15%,91,199.15,0.5714,184.54,113.44,-4.3,26.58
dual_emax,proposal,97,198.73,0.5667,184.54,114.68,-4.72,26.58
mean_greedy,25%,97,192.94,0.4528,183.56,106.89,-10.51,25.6
mean_greedy,20%,97,192.6,0.4476,183.56,107.48,-10.85,25.6
mean_greedy,30%,97,192.53,0.4472,183.56,103.45,-10.92,25.6
mean_greedy,35%,97,192.36,0.4452,183.56,102.18,-11.09,25.6
mean_greedy,40%,97,192.26,0.4415,183.56,97.67,-11.19,25.6
mean_greedy,proposal,97,191.76,0.4328,183.56,111.84,-11.69,25.6
mean_greedy,15%,87,191.06,0.417,183.56,109.15,-12.39,25.6
mean_greedy,none,97,181.68,0.2994,109.7,70.99,-21.77,-48.26
