objective,cap,contest,rows,best,mean
dual_emax,none,milly,1,82.62,82.62
dual_emax,none,flea,23,157.96,102.55
dual_emax,none,huddle,1,79.42,79.42
dual_emax,none,nickel,5,108.58,81.48
dual_emax,none,pylon,1,64.2,64.2
dual_emax,none,satellite,2,126.62,107.2
dual_emax,none,supersat1a,10,147.26,97.64
dual_emax,none,supersat1b,10,156.16,100.46
dual_emax,none,supersat1c,10,134.62,109.68
dual_emax,none,supersat25a,16,128.1,94.1
dual_emax,none,supersat25b,16,148.26,99.89
dual_emax,none,ffwcsat,2,98.4,78.29
mean_greedy,none,milly,1,53.56,53.56
mean_greedy,none,flea,23,103.22,68.1
mean_greedy,none,huddle,1,92.7,92.7
mean_greedy,none,nickel,5,85.66,73.09
mean_greedy,none,pylon,1,96.56,96.56
mean_greedy,none,satellite,2,77.66,64.81
mean_greedy,none,supersat1a,10,92.8,70.57
mean_greedy,none,supersat1b,10,101.02,70.15
mean_greedy,none,supersat1c,10,105.92,77.32
mean_greedy,none,supersat25a,16,109.7,69.11
mean_greedy,none,supersat25b,16,95.5,68.77
mean_greedy,none,ffwcsat,2,107.4,97.65
dual_emax,40%,milly,1,82.62,82.62
dual_emax,40%,flea,23,157.96,102.55
dual_emax,40%,huddle,1,79.42,79.42
dual_emax,40%,nickel,5,108.58,81.48
dual_emax,40%,pylon,1,64.2,64.2
dual_emax,40%,satellite,2,126.62,107.2
dual_emax,40%,supersat1a,10,147.26,97.64
dual_emax,40%,supersat1b,10,156.16,100.46
dual_emax,40%,supersat1c,10,134.62,109.68
dual_emax,40%,supersat25a,16,148.26,99.53
dual_emax,40%,supersat25b,16,184.54,114.96
dual_emax,40%,ffwcsat,2,142.98,136.13
mean_greedy,40%,milly,1,53.56,53.56
mean_greedy,40%,flea,23,103.22,68.1
mean_greedy,40%,huddle,1,92.7,92.7
mean_greedy,40%,nickel,5,85.66,73.09
mean_greedy,40%,pylon,1,96.56,96.56
mean_greedy,40%,satellite,2,77.66,64.81
mean_greedy,40%,supersat1a,10,130.02,82.25
mean_greedy,40%,supersat1b,10,150.32,122.33
mean_greedy,40%,supersat1c,10,169.62,114.02
mean_greedy,40%,supersat25a,16,158.42,107.56
mean_greedy,40%,supersat25b,16,183.56,125.79
mean_greedy,40%,ffwcsat,2,141.68,125.29
dual_emax,35%,milly,1,82.62,82.62
dual_emax,35%,flea,23,157.96,102.55
dual_emax,35%,huddle,1,79.42,79.42
dual_emax,35%,nickel,5,108.58,81.48
dual_emax,35%,pylon,1,64.2,64.2
dual_emax,35%,satellite,2,126.62,107.2
dual_emax,35%,supersat1a,10,147.26,97.64
dual_emax,35%,supersat1b,10,156.16,100.46
dual_emax,35%,supersat1c,10,134.62,109.68
dual_emax,35%,supersat25a,16,184.54,116.76
dual_emax,35%,supersat25b,16,153.38,120.53
dual_emax,35%,ffwcsat,2,117.68,99.7
mean_greedy,35%,milly,1,53.56,53.56
mean_greedy,35%,flea,23,103.22,68.1
mean_greedy,35%,huddle,1,92.7,92.7
mean_greedy,35%,nickel,5,85.66,73.09
mean_greedy,35%,pylon,1,96.56,96.56
mean_greedy,35%,satellite,2,77.66,64.81
mean_greedy,35%,supersat1a,10,150.32,105.16
mean_greedy,35%,supersat1b,10,149.2,111.35
mean_greedy,35%,supersat1c,10,169.62,113.53
mean_greedy,35%,supersat25a,16,183.56,127.16
mean_greedy,35%,supersat25b,16,168.48,125.04
mean_greedy,35%,ffwcsat,2,141.56,135.63
dual_emax,30%,milly,1,82.62,82.62
dual_emax,30%,flea,23,157.96,102.55
dual_emax,30%,huddle,1,79.42,79.42
dual_emax,30%,nickel,5,108.58,81.48
dual_emax,30%,pylon,1,64.2,64.2
dual_emax,30%,satellite,2,126.62,107.2
dual_emax,30%,supersat1a,10,147.26,97.64
dual_emax,30%,supersat1b,10,156.16,103.7
dual_emax,30%,supersat1c,10,130.38,106.84
dual_emax,30%,supersat25a,16,184.54,126.78
dual_emax,30%,supersat25b,16,155.48,122.49
dual_emax,30%,ffwcsat,2,145.52,126.55
mean_greedy,30%,milly,1,53.56,53.56
mean_greedy,30%,flea,23,103.22,68.1
mean_greedy,30%,huddle,1,92.7,92.7
mean_greedy,30%,nickel,5,103.48,77.32
mean_greedy,30%,pylon,1,79.58,79.58
mean_greedy,30%,satellite,2,130.02,95.27
mean_greedy,30%,supersat1a,10,150.32,119.2
mean_greedy,30%,supersat1b,10,169.62,109.05
mean_greedy,30%,supersat1c,10,158.42,113.35
mean_greedy,30%,supersat25a,16,183.56,129.53
mean_greedy,30%,supersat25b,16,159.16,121.16
mean_greedy,30%,ffwcsat,2,120.76,119.37
dual_emax,25%,milly,1,82.62,82.62
dual_emax,25%,flea,23,157.96,102.55
dual_emax,25%,huddle,1,79.42,79.42
dual_emax,25%,nickel,5,108.58,81.48
dual_emax,25%,pylon,1,64.2,64.2
dual_emax,25%,satellite,2,126.62,107.2
dual_emax,25%,supersat1a,10,147.26,98.69
dual_emax,25%,supersat1b,10,148.26,116.44
dual_emax,25%,supersat1c,10,184.54,123.81
dual_emax,25%,supersat25a,16,155.48,116.61
dual_emax,25%,supersat25b,16,166.56,121.62
dual_emax,25%,ffwcsat,2,126.52,118.76
mean_greedy,25%,milly,1,53.56,53.56
mean_greedy,25%,flea,23,103.22,68.1
mean_greedy,25%,huddle,1,103.48,103.48
mean_greedy,25%,nickel,5,150.32,98.1
mean_greedy,25%,pylon,1,123.78,123.78
mean_greedy,25%,satellite,2,123.68,96.73
mean_greedy,25%,supersat1a,10,169.62,126.28
mean_greedy,25%,supersat1b,10,158.42,116.74
mean_greedy,25%,supersat1c,10,183.56,127.97
mean_greedy,25%,supersat25a,16,159.16,124.71
mean_greedy,25%,supersat25b,16,153.8,116.62
mean_greedy,25%,ffwcsat,2,143.66,133.23
dual_emax,20%,milly,1,82.62,82.62
dual_emax,20%,flea,23,157.96,102.55
dual_emax,20%,huddle,1,79.42,79.42
dual_emax,20%,nickel,5,108.58,81.48
dual_emax,20%,pylon,1,64.2,64.2
dual_emax,20%,satellite,2,115.72,101.75
dual_emax,20%,supersat1a,10,148.26,113.56
dual_emax,20%,supersat1b,10,184.54,123.47
dual_emax,20%,supersat1c,10,158.28,125.44
dual_emax,20%,supersat25a,16,166.56,121.36
dual_emax,20%,supersat25b,16,159.92,123.73
dual_emax,20%,ffwcsat,2,138.7,135.09
mean_greedy,20%,milly,1,53.56,53.56
mean_greedy,20%,flea,23,150.32,73.38
mean_greedy,20%,huddle,1,69.78,69.78
