contest,field,blank,slots,exp_slots,slot_gap,dk_mass,exp_mass,shortfall,rounding_bound,explained_by_rounding,max_perplayer_abs,only_in_summary,only_in_lineups,omitted_mass,residual
195648007,172761,69,1554228,1554228,0,899.43,899.64,0.21,3.29,True,0.005,0,13,0.03,0.18
195660061,68,0,612,612,0,895.43,900.0,4.57,0.7,False,0.0047,0,3,4.412,0.158
195660198,2378,1,21393,21393,0,899.32,899.62,0.3,1.76,True,0.005,0,3,0.168,0.133
195660199,2378,0,21402,21402,0,899.53,900.0,0.47,1.88,True,0.0049,0,5,0.252,0.218
195660200,594,0,5346,5346,0,899.89,900.0,0.11,1.34,True,0.0049,0,2,0.337,-0.227
195660201,594,0,5346,5346,0,898.58,900.0,1.42,1.41,False,0.0049,0,7,1.684,-0.264
195660202,594,0,5346,5346,0,900.26,900.0,-0.26,1.35,True,0.0049,0,0,0.0,-0.26
195660229,59,0,531,531,0,894.52,900.0,5.48,0.7,False,0.0049,0,2,5.085,0.395
195661326,23781,23,213822,213822,0,898.66,899.13,0.47,2.53,True,0.005,0,13,0.168,0.301
195661344,83234,34,748800,748800,0,899.37,899.63,0.26,2.87,True,0.005,0,15,0.066,0.196
195661365,9512,0,85608,85608,0,899.82,900.0,0.18,2.0,True,0.005,0,5,0.074,0.106
195661380,15854,16,142542,142542,0,899.15,899.09,-0.06,2.43,True,0.005,0,12,0.126,-0.184
