kind,name,dMAE,worse_in,dSpear,dAUC30,verdict
family,vegas,0.031353800140706704,7,-0.00032130047264907917,-0.0021319472086930463,HELPFUL
family,production_trail,0.01129254186461992,5,-0.0014160973598476964,0.0001365742482370821,HELPFUL
family,salary,0.01025927722843077,4,-0.008319149005777174,-0.004801495872674263,redundant/neutral
family,defense,0.005272154459558579,5,0.0007609639715044279,-4.0843681598084256e-05,HELPFUL
drop1,body_clock_hour,0.0019828187509654933,5,-0.0006565766469323529,0.0005896240765311177,HELPFUL
drop1,carry_share_l4,0.013676004991635729,6,-0.001678910482827724,-0.0004156895016914154,HELPFUL
drop1,cb_comp_rate_allowed_l6,-0.0002955347312396027,4,-0.0002131684543628268,0.0002779554550675118,redundant/neutral
drop1,cb_ypt_allowed_l6,0.00011455200567216701,4,-0.00021149022586180216,0.000686059433036298,redundant/neutral
drop1,db_ypt_allowed_l6,-0.002296880069333326,3,-0.00017638846814560516,0.0009805188152948016,redundant/neutral
drop1,deep_targets_l4,0.0001744602550228791,4,-0.0002790933062187013,0.0002539302788812251,redundant/neutral
drop1,depth_rank,0.02666014006167578,7,-0.004544878937204122,0.0012671925307570536,HELPFUL
drop1,dk_points_l4,-0.0019655557199109402,3,-0.00035950757783867867,0.00120416626055759,redundant/neutral
drop1,dk_points_std,-0.003781744095365739,3,-0.00045026220122625283,0.0008966674228068072,redundant/neutral
drop1,dk_points_vol,-0.0001045726406562356,3,-0.0004802805795595428,-0.00014917758137846158,redundant/neutral
drop1,expected_game_script,0.0018432981533681922,4,-0.00038405388251356546,0.0004693846190572115,redundant/neutral
drop1,ez_targets_l4,0.005011213153948305,5,-0.0007019451890798287,0.0002487379010811847,HELPFUL
drop1,game_total,0.007892430745696075,5,-0.00010131330805464498,0.0006122771772011688,HELPFUL
drop1,games_played_prior,0.0031661957888861536,4,-0.00018761621383629152,0.0008844923594721253,redundant/neutral
drop1,gl3_carries_smoothed,-0.004696327562474638,2,-0.00022368658702496904,0.0014730500668023807,HARMFUL
drop1,implied_team_total,0.004248546754210317,5,-0.0003513728582562762,0.0010812852519536437,HELPFUL
drop1,is_cold_start,-0.0011795424643976332,3,-0.00020312007962928837,0.00037679300656103177,redundant/neutral
drop1,is_dome,-0.0005317592028206063,3,6.215677874226484e-05,-5.422132826964672e-06,redundant/neutral
drop1,is_home,0.0002354847380267192,3,-2.35614286377972e-05,0.001019806682251656,redundant/neutral
drop1,net_rest_diff,0.0008441325719211587,4,-8.47338002427803e-05,0.0011632732054038333,redundant/neutral
drop1,neutral_pass_rate_l6,-0.0025653626648617207,1,9.880471160866084e-05,0.00038090678141392394,HARMFUL
drop1,qb_cpoe_l6,0.04182293485317569,7,-0.00585128029647018,0.0007419921892770949,HELPFUL
drop1,ref_flags_prior,0.006750160084907427,5,-9.41010418406155e-05,-0.00043640966378924846,HELPFUL
drop1,rz20_targets_smoothed,-0.003089477478284205,3,-0.00043935015323088536,0.00011146777097622731,redundant/neutral
drop1,salary,0.0022803149924931327,4,-0.006408427738272993,-0.0035378874356501683,redundant/neutral
drop1,salary_delta_wow,0.006705142274022968,5,-0.0007579220374814051,0.0005751349312591104,HELPFUL
drop1,separation_l4,-0.003900935690417765,2,-0.0005696788054478454,0.0003408817087747445,HARMFUL
drop1,snap_share_l4,0.01967349675558402,6,-0.003286557109497926,-0.0004689379027972919,HELPFUL
drop1,spread,-0.0024805104424345486,3,-1.7156080468721286e-05,-0.0005970150537832579,redundant/neutral
drop1,stacked_box_l4,-0.004728002055434618,1,-2.910356313311015e-05,0.00015863893413122935,HARMFUL
drop1,target_share_l4,-0.005265448749796319,3,-0.00017707242672095256,-0.0006447981444313657,redundant/neutral
drop1,team_vacated_carry_share,-0.0008055305671410551,4,-0.0004377664872545127,-0.0011442641675223195,redundant/neutral
drop1,team_vacated_target_share,0.005972637377388068,6,-0.0010370629313714971,-0.0010261816242859156,HELPFUL
drop1,top_cb_out,-0.0035200625936798575,3,-9.595367710855753e-05,-0.00039221647541343163,redundant/neutral
drop1,wopr_l4,-0.0034154353876864846,4,-3.48281901707865e-05,-0.0006513175040328319,redundant/neutral
