season,week,position,player,salary,ownership_pct,fantasy_points
2019,1,QB,L. Jackson,6000,6.9%,36.56
2019,1,RB,C. Carson,5700,26.7%,25.1
2019,1,RB,C. McCaffrey,8800,20.3%,45.9
2019,1,WR,O. Beckham,8100,12.0%,14.1
2019,1,WR,M. Brown,3800,0.3%,33.7
2019,1,WR,D. Jackson,4500,8.4%,38.4
2019,1,TE,E. Engram,4800,13.2%,31.6
2019,1,FLEX,D. Cook,6000,37.0%,29.0
2019,1,DST,49ers,2200,4.3%,27.0
2019,2,QB,P. Mahomes,7500,13.2%,35.62
2019,2,RB,E. Elliott,8700,8.5%,23.0
2019,2,RB,D. Henry,6000,14.7%,17.3
2019,2,WR,J. Brown,5200,20.8%,14.2
2019,2,WR,D. Robinson,3500,0.6%,38.2
2019,2,WR,E. Sanders,4700,1.8%,28.8
2019,2,TE,T. Kelce,7300,16.6%,26.7
2019,2,FLEX,P. Williams,3400,0.6%,10.3
2019,2,DST,Patriots,3700,20.4%,37.0
2019,3,QB,J. Winston,5400,6.6%,29.5
2019,3,RB,R. Burkhead,3900,10.2%,18.9
2019,3,RB,P. Lindsay,4300,2.9%,29.0
2019,3,WR,K. Allen,7000,15.4%,46.6
2019,3,WR,M. Evans,6600,11.3%,48.0
2019,3,WR,J. Jones,7300,10.5%,29.8
2019,3,TE,D. Waller,4100,5.9%,30.1
2019,3,FLEX,C. McCaffrey,8700,22.2%,30.8
2019,3,DST,Panthers,2700,1.2%,13.0
2019,4,QB,J. Goff,6300,4.0%,27.68
2019,4,RB,N. Chubb,6400,3.4%,42.3
2019,4,RB,D. Johnson,6800,7.2%,21.9
2019,4,WR,C. Godwin,6000,0.7%,44.2
2019,4,WR,C. Kupp,6500,16.5%,29.9
2019,4,WR,R. Woods,6100,3.1%,32.4
2019,4,TE,W. Dissly,3600,27.0%,18.7
2019,4,FLEX,C. Sutton,4600,1.3%,24.2
2019,4,DST,Patriots,3700,11.0%,25.0
2019,5,QB,T. Bridgewater,5200,2.7%,31.26
2019,5,RB,C. McCaffrey,8700,24.7%,50.7
2019,5,RB,J. White,5000,12.1%,13.2
2019,5,WR,W. Fuller,4500,18.5%,56.7
2019,5,WR,C. Godwin,6900,14.8%,34.5
2019,5,WR,M. Thomas,6600,23.7%,44.2
2019,5,TE,J. Cook,3400,3.6%,14.1
2019,5,FLEX,A. Jones,5900,12.0%,52.2
2019,5,DST,Eagles,3700,6.8%,35.0
