season,week,player,position,salary,own_pct,pts,winning_score
2023,1,Tua Tagovailoa,QB,6700,5.76,32.14,233.24
2023,1,Austin Ekeler,RB,8400,15.08,29.4,233.24
2023,1,Kenneth Walker,RB,6000,9.73,10.7,233.24
2023,1,Kendrick Bourne,WR,3300,2.19,24.4,233.24
2023,1,Calvin Ridley,WR,6500,16.87,27.1,233.24
2023,1,Brandon Aiyuk,WR,4900,5.74,35.9,233.24
2023,1,Hayden Hurst,TE,3000,3.66,15.1,233.24
2023,1,Tyreek Hill,WR,8200,23.63,47.5,233.24
2023,1,Washington DST,DST,2800,35.52,11.0,233.24
2023,2,Daniel Jones,QB,6000,3.28,34.74,224.4
2023,2,Saquon Barkley,RB,8000,8.41,27.2,224.4
2023,2,Rachaad White,RB,5500,15.79,21.3,224.4
2023,2,Keenan Allen,WR,7100,11.7,34.1,224.4
2023,2,Christian Kirk,WR,5100,6.14,24.96,224.4
2023,2,Nico Collins,WR,4800,10.98,30.8,224.4
2023,2,Darren Waller,TE,5500,5.03,13.6,224.4
2023,2,Zack Moss,RB,4700,9.46,20.7,224.4
2023,2,Buccaneers,DST,3200,9.76,17.0,224.4
2023,3,Jared Goff,QB,6500,3.74,19.02,294.38
2023,3,Kenneth Walker,RB,6200,20.45,30.6,294.38
2023,3,Raheem Mostert,RB,6000,16.19,45.2,294.38
2023,3,Tyreek Hill,WR,9000,22.76,33.7,294.38
2023,3,Keenan Allen,WR,7600,15.73,48.46,294.38
2023,3,Tank Dell,WR,3600,20.63,28.5,294.38
2023,3,Sam Laporta,TE,4000,9.27,22.4,294.38
2023,3,Adam Thielen,WR,3900,10.97,34.5,294.38
2023,3,Bills DST,DST,2900,12.3,32.0,294.38
2023,5,Joe Burrow,QB,6200,6.18,27.38,259.18
2023,5,Breece Hall,RB,5400,31.18,31.4,259.18
2023,5,David Montgomery,RB,6600,44.61,23.9,259.18
2023,5,Ja’Marr Chase,WR,7900,19.96,55.2,259.18
2023,5,Jordan Addison,WR,5300,4.32,18.4,259.18
