ordinal,season,week,finish,pool_ceiling,fp-on-sis-on-v1:k20_max,fp-on-sis-on-v1:k20_neg_best_pct,fp-on-sis-on-v1:k20_ge194,fp-on-sis-on-v1:k20_ge200,fp-on-sis-on-v1:k20_ge220,fp-on-sis-on-v1:k20_ev_cash,fp-on-sis-on-v1:k20_ev_top100,fp-on-sis-on-v1:k20_ev_top1000,fp-on-sis-on-v1:k40_max,fp-on-sis-on-v1:k40_neg_best_pct,fp-on-sis-on-v1:k40_ge194,fp-on-sis-on-v1:k40_ge200,fp-on-sis-on-v1:k40_ge220,fp-on-sis-on-v1:k40_ev_cash,fp-on-sis-on-v1:k40_ev_top100,fp-on-sis-on-v1:k40_ev_top1000,fp-on-sis-on-v1:k80_max,fp-on-sis-on-v1:k80_neg_best_pct,fp-on-sis-on-v1:k80_ge194,fp-on-sis-on-v1:k80_ge200,fp-on-sis-on-v1:k80_ge220,fp-on-sis-on-v1:k80_ev_cash,fp-on-sis-on-v1:k80_ev_top100,fp-on-sis-on-v1:k80_ev_top1000,fp-on-sis-on-v1:admitted_ceiling,fp-on-sis-on-v1:k80_jaccard,fp-on-sis-on-v1:k20_jaccard,fp-on-sis-on-v1:adm_jaccard,fp-on-sis-on-v1:raw_changes,fp-on-sis-on-v1:edge_changes,fp-off-sis-on-v1:k20_max,fp-off-sis-on-v1:k20_neg_best_pct,fp-off-sis-on-v1:k20_ge194,fp-off-sis-on-v1:k20_ge200,fp-off-sis-on-v1:k20_ge220,fp-off-sis-on-v1:k20_ev_cash,fp-off-sis-on-v1:k20_ev_top100,fp-off-sis-on-v1:k20_ev_top1000,fp-off-sis-on-v1:k40_max,fp-off-sis-on-v1:k40_neg_best_pct,fp-off-sis-on-v1:k40_ge194,fp-off-sis-on-v1:k40_ge200,fp-off-sis-on-v1:k40_ge220,fp-off-sis-on-v1:k40_ev_cash,fp-off-sis-on-v1:k40_ev_top100,fp-off-sis-on-v1:k40_ev_top1000,fp-off-sis-on-v1:k80_max,fp-off-sis-on-v1:k80_neg_best_pct,fp-off-sis-on-v1:k80_ge194,fp-off-sis-on-v1:k80_ge200,fp-off-sis-on-v1:k80_ge220,fp-off-sis-on-v1:k80_ev_cash,fp-off-sis-on-v1:k80_ev_top100,fp-off-sis-on-v1:k80_ev_top1000,fp-off-sis-on-v1:admitted_ceiling,fp-off-sis-on-v1:k80_jaccard,fp-off-sis-on-v1:k20_jaccard,fp-off-sis-on-v1:adm_jaccard,fp-off-sis-on-v1:raw_changes,fp-off-sis-on-v1:edge_changes,fp-on-sis-off-v1:k20_max,fp-on-sis-off-v1:k20_neg_best_pct,fp-on-sis-off-v1:k20_ge194,fp-on-sis-off-v1:k20_ge200,fp-on-sis-off-v1:k20_ge220,fp-on-sis-off-v1:k20_ev_cash,fp-on-sis-off-v1:k20_ev_top100,fp-on-sis-off-v1:k20_ev_top1000,fp-on-sis-off-v1:k40_max,fp-on-sis-off-v1:k40_neg_best_pct,fp-on-sis-off-v1:k40_ge194,fp-on-sis-off-v1:k40_ge200,fp-on-sis-off-v1:k40_ge220,fp-on-sis-off-v1:k40_ev_cash,fp-on-sis-off-v1:k40_ev_top100,fp-on-sis-off-v1:k40_ev_top1000,fp-on-sis-off-v1:k80_max,fp-on-sis-off-v1:k80_neg_best_pct,fp-on-sis-off-v1:k80_ge194,fp-on-sis-off-v1:k80_ge200,fp-on-sis-off-v1:k80_ge220,fp-on-sis-off-v1:k80_ev_cash,fp-on-sis-off-v1:k80_ev_top100,fp-on-sis-off-v1:k80_ev_top1000,fp-on-sis-off-v1:admitted_ceiling,fp-on-sis-off-v1:k80_jaccard,fp-on-sis-off-v1:k20_jaccard,fp-on-sis-off-v1:adm_jaccard,fp-on-sis-off-v1:raw_changes,fp-on-sis-off-v1:edge_changes,fp-off-sis-off-v1:k20_max,fp-off-sis-off-v1:k20_neg_best_pct,fp-off-sis-off-v1:k20_ge194,fp-off-sis-off-v1:k20_ge200,fp-off-sis-off-v1:k20_ge220,fp-off-sis-off-v1:k20_ev_cash,fp-off-sis-off-v1:k20_ev_top100,fp-off-sis-off-v1:k20_ev_top1000,fp-off-sis-off-v1:k40_max,fp-off-sis-off-v1:k40_neg_best_pct,fp-off-sis-off-v1:k40_ge194,fp-off-sis-off-v1:k40_ge200,fp-off-sis-off-v1:k40_ge220,fp-off-sis-off-v1:k40_ev_cash,fp-off-sis-off-v1:k40_ev_top100,fp-off-sis-off-v1:k40_ev_top1000,fp-off-sis-off-v1:k80_max,fp-off-sis-off-v1:k80_neg_best_pct,fp-off-sis-off-v1:k80_ge194,fp-off-sis-off-v1:k80_ge200,fp-off-sis-off-v1:k80_ge220,fp-off-sis-off-v1:k80_ev_cash,fp-off-sis-off-v1:k80_ev_top100,fp-off-sis-off-v1:k80_ev_top1000,fp-off-sis-off-v1:admitted_ceiling,fp-off-sis-off-v1:k80_jaccard,fp-off-sis-off-v1:k20_jaccard,fp-off-sis-off-v1:adm_jaccard,fp-off-sis-off-v1:raw_changes,fp-off-sis-off-v1:edge_changes
0,2023,1,True,187.3,158.04,-0.04728,0,0,0,7,0,0,158.04,-0.04728,0,0,0,10,0,0,164.14,-0.027385,0,0,0,18,0,0,164.14,1.0,1.0,1.0,0,0,160.84,-0.03696,0,0,0,6,0,0,160.84,-0.03696,0,0,0,8,0,0,163.36,-0.02952,0,0,0,12,0,0,182.74,0.08108108108108109,0.08108108108108109,0.14285714285714285,512,349,158.04,-0.04728,0,0,0,6,0,0,158.04,-0.04728,0,0,0,10,0,0,158.04,-0.04728,0,0,0,18,0,0,164.14,0.5686274509803921,0.6666666666666666,0.6949152542372882,180,110,157.34,-0.050145,0,0,0,4,0,0,157.34,-0.050145,0,0,0,5,0,0,163.36,-0.02952,0,0,0,9,0,0,182.74,0.03896103896103896,0.02564102564102564,0.11731843575418995,692,355
1,2023,2,True,197.24,156.92,-0.07654,0,0,0,5,0,0,173.74,-0.015515,0,0,0,11,0,0,180.72,-0.006965,0,0,0,23,0,0,180.72,1.0,1.0,1.0,0,0,172.14,-0.018435,0,0,0,5,0,0,172.78,-0.01724,0,0,0,9,0,0,180.72,-0.006965,0,0,0,17,0,0,180.72,0.11888111888111888,0.05263157894736842,0.14285714285714285,477,312,156.9,-0.076695,0,0,0,5,0,0,180.72,-0.006965,0,0,0,13,0,0,182.88,-0.005335,0,0,0,24,0,0,182.88,0.46788990825688076,0.3333333333333333,0.6326530612244898,137,108,172.78,-0.01724,0,0,0,4,0,0,180.72,-0.006965,0,0,0,8,0,0,180.72,-0.006965,0,0,0,14,0,0,180.72,0.08843537414965986,0.08108108108108109,0.1267605633802817,614,313
2,2023,3,True,242.36,206.56,-0.015665,1,1,0,4,0,0,206.56,-0.015665,1,1,0,6,0,0,206.56,-0.015665,1,1,0,8,0,0,206.56,1.0,1.0,1.0,0,0,208.66,-0.013325,1,1,0,7,0,0,208.66,-0.013325,1,1,0,12,0,0,208.66,-0.013325,1,1,0,23,0,0,225.18,0.08843537414965986,0.14285714285714285,0.14613180515759314,459,301,206.56,-0.015665,1,1,0,7,0,0,206.56,-0.015665,1,1,0,7,0,0,206.56,-0.015665,1,1,0,10,0,0,218.38,0.5094339622641509,0.48148148148148145,0.6597510373443983,132,100,208.66,-0.013325,1,1,0,8,0,0,208.66,-0.013325,1,1,0,13,0,0,208.66,-0.013325,1,1,0,23,0,0,225.18,0.0738255033557047,0.08108108108108109,0.14285714285714285,591,306
3,2023,4,True,241.1,202.3,-0.00664,1,1,0,5,0,0,202.3,-0.00664,1,1,0,9,0,0,202.3,-0.00664,1,1,0,15,0,0,202.3,1.0,1.0,1.0,0,0,184.22,-0.030785,0,0,0,3,0,0,199.48,-0.00869,1,0,0,7,0,0,199.48,-0.00869,1,0,0,17,0,0,199.48,0.1267605633802817,0.08108108108108109,0.15606936416184972,505,321,202.3,-0.00664,1,1,0,4,0,0,202.3,-0.00664,1,1,0,10,0,0,202.3,-0.00664,1,1,0,16,0,0,202.3,0.6,0.48148148148148145,0.6666666666666666,140,110,184.62,-0.02987,0,0,0,5,0,0,199.48,-0.00869,1,0,0,9,0,0,199.48,-0.00869,1,0,0,18,0,0,200.86,0.10344827586206896,0.08108108108108109,0.13636363636363635,645,323
4,2023,5,True,204.24,174.06,-0.15737,0,0,0,2,0,0,174.06,-0.15737,0,0,0,2,0,0,174.06,-0.15737,0,0,0,3,0,0,179.58,1.0,1.0,1.0,0,0,175.88,-0.14313,0,0,0,2,0,0,175.88,-0.14313,0,0,0,2,0,0,196.78,-0.03702,1,0,0,6,0,0,196.78,0.11888111888111888,0.14285714285714285,0.18694362017804153,656,299,140.24,-0.58251,0,0,0,0,0,0,174.06,-0.15737,0,0,0,2,0,0,174.06,-0.15737,0,0,0,2,0,0,174.06,0.1347517730496454,0.14285714285714285,0.23839009287925697,326,202,175.88,-0.14313,0,0,0,1,0,0,175.88,-0.14313,0,0,0,1,0,0,201.88,-0.02424,1,1,0,4,0,0,201.88,0.11888111888111888,0.05263157894736842,0.14942528735632185,772,299
5,2023,6,True,177.58,154.88,-0.12026,0,0,0,3,0,0,176.48,-0.01357,0,0,0,8,0,0,176.48,-0.01357,0,0,0,10,0,0,176.48,1.0,1.0,1.0,0,0,160.08,-0.078355,0,0,0,3,0,0,160.08,-0.078355,0,0,0,6,0,0,171.88,-0.023925,0,0,0,11,0,0,175.58,0.1347517730496454,0.05263157894736842,0.1396011396011396,677,301,153.08,-0.137815,0,0,0,2,0,0,170.38,-0.028175,0,0,0,3,0,0,177.58,-0.0118,0,0,0,5,0,0,177.58,0.2698412698412698,0.2903225806451613,0.3377926421404682,338,198,150.98,-0.160035,0,0,0,1,0,0,177.58,-0.0118,0,0,0,5,0,0,177.58,-0.0118,0,0,0,11,0,0,177.58,0.1111111111111111,0.05263157894736842,0.1267605633802817,795,303
6,2023,7,True,206.66,153.26,-0.075005,0,0,0,3,0,0,183.86,-0.0034,0,0,0,4,0,0,183.86,-0.0034,0,0,0,11,0,0,183.86,1.0,1.0,1.0,0,0,182.96,-0.003785,0,0,0,3,0,0,182.96,-0.003785,0,0,0,5,0,0,182.96,-0.003785,0,0,0,12,0,0,182.96,0.11888111888111888,0.1111111111111111,0.18694362017804153,625,294,160.26,-0.042385,0,0,0,4,0,0,160.26,-0.042385,0,0,0,6,0,0,160.26,-0.042385,0,0,0,11,0,0,160.26,0.3333333333333333,0.48148148148148145,0.3793103448275862,320,197,182.96,-0.003785,0,0,0,4,0,0,182.96,-0.003785,0,0,0,5,0,0,182.96,-0.003785,0,0,0,13,0,0,182.96,0.10344827586206896,0.08108108108108109,0.1396011396011396,737,294
7,2023,8,True,220.86,163.4,-0.12119,0,0,0,1,0,0,163.4,-0.12119,0,0,0,4,0,0,163.4,-0.12119,0,0,0,4,0,0,177.56,1.0,1.0,1.0,0,0,161.66,-0.13568,0,0,0,1,0,0,183.16,-0.025255,0,0,0,2,0,0,183.16,-0.025255,0,0,0,4,0,0,183.16,0.1267605633802817,0.08108108108108109,0.17302052785923755,837,378,163.4,-0.12119,0,0,0,1,0,0,163.4,-0.12119,0,0,0,2,0,0,170.48,-0.074055,0,0,0,6,0,0,177.56,0.3114754098360656,0.2903225806451613,0.3422818791946309,407,251,148.88,-0.27413,0,0,0,0,0,0,183.16,-0.025255,0,0,0,1,0,0,183.16,-0.025255,0,0,0,2,0,0,183.16,0.10344827586206896,0.05263157894736842,0.14613180515759314,980,378
8,2023,9,True,229.6,186.0,-0.005245,0,0,0,8,0,0,206.3,-0.00046,1,1,0,17,0,2,206.3,-0.00046,1,1,0,32,0,2,206.3,1.0,1.0,1.0,0,0,204.5,-0.000595,1,1,0,5,0,1,206.3,-0.00046,1,1,0,8,0,2,206.3,-0.00046,1,1,0,19,0,2,206.3,0.14285714285714285,0.05263157894736842,0.22324159021406728,585,278,206.3,-0.00046,1,1,0,7,0,1,206.3,-0.00046,1,1,0,14,0,2,206.3,-0.00046,1,1,0,24,0,2,206.3,0.1510791366906475,0.1111111111111111,0.21212121212121213,305,183,204.5,-0.000595,1,1,0,5,0,1,206.3,-0.00046,1,1,0,8,0,2,206.3,-0.00046,1,1,0,21,0,2,206.3,0.11888111888111888,0.05263157894736842,0.17302052785923755,700,278
9,2023,10,True,216.06,179.06,-0.04782,0,0,0,3,0,0,181.74,-0.038855,0,0,0,8,0,0,182.26,-0.037295,0,0,0,15,0,0,188.06,1.0,1.0,1.0,0,0,192.56,-0.01519,0,0,0,5,0,0,206.66,-0.003795,1,1,0,12,0,0,206.66,-0.003795,1,1,0,24,0,0,206.66,0.14285714285714285,0.08108108108108109,0.15273775216138327,613,280,179.06,-0.04782,0,0,0,4,0,0,205.36,-0.004305,1,1,0,13,0,0,205.36,-0.004305,1,1,0,25,0,0,205.36,0.22137404580152673,0.1111111111111111,0.2987012987012987,318,194,192.56,-0.01519,0,0,0,5,0,0,206.66,-0.003795,1,1,0,11,0,0,206.66,-0.003795,1,1,0,18,0,0,206.66,0.1111111111111111,0.05263157894736842,0.12044817927170869,727,280
