n_cand,oracle,tag,simrank,selected,selbest,gap,extra,orc_clears,sel_clears
163,171.3,boom,88,False,167.4,3.9,0,False,False
166,211.5,dark,35,True,211.5,0.0,0,True,True
174,213.1,qbvar,162,False,181.2,31.9,1,True,False
171,173.7,game,54,False,169.5,4.3,0,False,False
167,157.7,boom,43,True,157.7,0.0,0,False,False
165,177.3,boom,4,True,177.3,0.0,0,False,False
160,176.3,dark,127,False,155.7,20.6,0,False,False
164,191.8,boom,145,False,158.0,33.7,0,False,False
161,182.0,boom,68,True,182.0,0.0,0,False,False
167,199.2,qbvar,57,False,191.7,7.5,5,True,False
168,215.5,boom,59,True,215.5,0.0,0,True,True
169,195.5,boom,2,True,195.5,0.0,0,True,True
164,250.4,lev,12,True,250.4,0.0,47,True,True
170,214.9,boom,15,True,214.9,0.0,1,True,True
168,202.6,boom,17,True,202.6,0.0,0,True,True
166,170.9,lev,141,False,156.0,14.9,0,False,False
172,199.1,lev,110,False,172.3,26.8,2,True,False
159,179.6,lev,75,False,156.1,23.5,0,False,False
170,220.7,lev,47,False,218.1,2.6,6,True,True
163,175.5,dark,3,True,175.5,0.0,0,False,False
162,152.0,boom,96,False,136.8,15.2,0,False,False
170,184.9,boom,31,False,180.6,4.3,0,False,False
164,178.8,lev,43,False,168.7,10.1,0,False,False
169,189.3,qbvar,67,False,173.9,15.4,0,False,False
163,207.4,lev,142,False,196.0,11.4,1,True,True
165,164.2,boom,39,True,164.2,0.0,0,False,False
169,146.9,boom,152,False,138.4,8.5,0,False,False
167,160.4,boom,44,True,160.4,0.0,0,False,False
164,184.1,lev,39,False,172.0,12.1,0,False,False
167,192.5,boom,5,True,192.5,0.0,0,False,False
160,236.4,qbvar,127,False,224.4,12.0,4,True,True
160,191.9,lev,21,False,181.9,10.0,0,False,False
162,181.0,qbvar,60,False,180.5,0.5,0,False,False
172,158.8,dark,124,False,152.1,6.7,0,False,False
174,166.6,boom,15,True,166.6,0.0,0,False,False
169,140.0,dark,102,False,125.9,14.1,0,False,False
162,184.2,boom,144,False,175.4,8.8,0,False,False
171,164.7,boom,16,True,164.7,0.0,0,False,False
168,168.7,boom,103,True,168.7,0.0,0,False,False
161,192.0,boom,10,True,192.0,0.0,0,False,False
168,172.5,boom,159,False,169.5,3.0,0,False,False
167,221.5,lev,105,False,195.3,26.2,7,True,True
171,170.6,boom,16,True,170.6,0.0,0,False,False
168,170.4,qbvar,134,False,160.2,10.2,0,False,False
164,163.0,boom,73,True,163.0,0.0,0,False,False
164,188.1,lev,49,True,188.1,0.0,0,False,False
165,191.3,boom,27,True,191.3,0.0,0,False,False
164,169.2,lev,43,False,161.7,7.5,0,False,False
169,189.7,lev,14,False,181.4,8.2,0,False,False
167,218.1,qbvar,47,True,218.1,0.0,0,True,True
169,170.2,dark,86,False,168.1,2.1,0,False,False
173,236.6,boom,26,True,236.6,0.0,0,True,True
