season,week,best
2019,1,170.8
2019,2,169.0
2019,3,195.4
2019,4,192.4
2019,5,271.1
2019,6,199.5
2019,7,186.3
2019,8,209.8
2019,9,162.9
2019,10,179.5
2019,11,170.8
2019,12,183.0
2019,13,165.3
2019,14,175.9
2019,15,176.6
2019,16,211.5
2019,17,167.3
2021,1,187.8
2021,2,180.8
2021,3,172.8
2021,4,171.1
2021,5,201.6
2021,6,190.6
2021,7,180.5
2021,8,166.8
2021,9,140.0
2021,10,155.5
2021,11,203.3
2021,12,189.7
2021,13,177.0
2021,14,188.9
2021,15,143.3
2021,16,175.5
2021,17,218.1
2021,18,171.3
2022,1,177.1
2022,2,198.9
2022,3,168.4
2022,4,200.0
2022,5,172.0
2022,6,150.1
2022,7,190.4
2022,8,188.1
2022,9,160.0
2022,10,155.2
2022,11,156.8
2022,12,188.1
2022,13,157.3
2022,14,205.3
2022,15,180.9
2022,16,172.4
2022,17,175.4
2022,18,153.3
2023,1,177.3
2023,2,164.1
2023,3,198.8
2023,4,194.6
2023,5,194.5
2023,6,155.6
2023,7,181.3
2023,8,177.9
2023,9,199.9
2023,10,180.5
2023,11,158.7
2023,12,174.1
2023,13,174.3
2023,14,161.9
2023,15,176.0
2023,16,186.3
2023,17,179.7
2023,18,174.3
2024,1,152.5
2024,2,150.9
2024,3,184.3
2024,4,165.1
2024,5,200.9
2024,6,163.2
2024,7,172.6
2024,8,165.3
2024,9,163.5
2024,10,173.2
2024,11,206.5
2024,12,178.7
2024,13,195.4
2024,14,188.8
2024,15,197.0
2024,16,196.9
2024,17,199.2
2024,18,178.5
2025,1,165.6
2025,2,158.4
2025,3,155.6
2025,4,196.4
2025,5,175.4
2025,6,180.2
2025,7,221.8
2025,8,162.3
2025,9,203.3
2025,10,185.2
2025,11,202.1
2025,12,218.2
2025,13,149.4
2025,14,167.7
2025,15,178.9
2025,16,163.3
2025,17,174.4
2025,18,149.6
