bucket,prefix,run_id,object_count,non_json_count
nfl-2-506823-lab,results/077_dose800/,077b490r1-20260901T134449Z,18,0
nfl-2-506823-lab,results/077_dose800/,077b491r1-20260901T134715Z,18,0
nfl-2-506823-lab,results/077_dose800/,077b492r1-20260901T143944Z,18,0
nfl-2-506823-lab,results/077_dose800/,077m490r1-20260901T133153Z,1,0
nfl-2-506823-lab,results/077_dose800/,20260901T054907Z,1,0
nfl-2-506823-lab,results/113_dose3200/,113b930r1-20260913T082335Z,72,0
nfl-2-506823-lab,results/113_dose3200/,113b931r1-20260913T082518Z,69,0
nfl-2-506823-lab,results/113_dose3200/,113b931r1rep2021-20260913T115307Z,2,0
nfl-2-506823-lab,results/113_dose3200/,113b931r1rep2022-20260913T131336Z,1,0
nfl-2-506823-lab,results/113_dose3200/,113b932r1-20260913T113729Z,72,0
nfl-2-506823-lab,results/113_dose3200/,113m930r1-20260913T062448Z,1,0
nfl-2-506823-lab,results/115_dose3200_retrieval/,115b950r1-20260913T161147Z,71,0
nfl-2-506823-lab,results/115_dose3200_retrieval/,115b950r1rep2023-20260913T203104Z,1,0
nfl-2-506823-lab,results/115_dose3200_retrieval/,115b951r1-20260913T161334Z,72,0
nfl-2-506823-lab,results/115_dose3200_retrieval/,115b952r1-20260913T194323Z,72,0
nfl-2-506823-lab,results/115_dose3200_retrieval/,115m950r1-20260913T142851Z,1,0
nfl-2-506823-lab,results/117_dose6400/,117b970r1-20260914T112001Z,65,0
nfl-2-506823-lab,results/117_dose6400/,117b970r1rep2023-20260915T160308Z,3,0
nfl-2-506823-lab,results/117_dose6400/,117b970r1rep2024-20260915T161005Z,4,0
nfl-2-506823-lab,results/117_dose6400/,117b971r1-20260914T112259Z,55,0
nfl-2-506823-lab,results/117_dose6400/,117b971r1rep2021-20260915T201932Z,6,0
nfl-2-506823-lab,results/117_dose6400/,117b971r1rep2022-20260915T202226Z,6,0
nfl-2-506823-lab,results/117_dose6400/,117b971r1rep2023-20260916T011917Z,3,0
nfl-2-506823-lab,results/117_dose6400/,117b971r1rep2024-20260916T020113Z,2,0
nfl-2-506823-lab,results/117_dose6400/,117b972r1-20260914T212619Z,72,0
nfl-2-506823-lab,results/117_dose6400/,117m970r1-20260913T230639Z,1,0
