Research rank,QB,RB1,RB2,WR1,WR2,WR3,TE,FLEX,DST,Salary,Prior delivered rank
1,C.J. Stroud,Bijan Robinson,Javonte Williams,Ja'Marr Chase,Justin Jefferson,Kendrick Bourne,Dalton Schultz,Xavier Hutchinson,49ers,49900,2
2,Baker Mayfield,Bucky Irving,Javonte Williams,Christian Watson,Emeka Egbuka,Justin Jefferson,Cade Otton,Harold Fannin Jr.,49ers,49800,1
3,Jordan Love,D'Andre Swift,MarShawn Lloyd,Drake London,Garrett Wilson,Justin Jefferson,Tucker Kraft,Matthew Golden,Patriots,50000,3
4,Caleb Williams,Aaron Jones Sr.,D'Andre Swift,Justin Jefferson,Kalif Raymond,Luther Burden III,T.J. Hockenson,Saquon Barkley,49ers,49600,4
5,Bryce Young,Bijan Robinson,Saquon Barkley,Garrett Wilson,Jalen Coker,Terry McLaurin,David Njoku,Tetairoa McMillan,49ers,49800,5
6,Geno Smith,Breece Hall,Javonte Williams,Christian Watson,Courtland Sutton,Garrett Wilson,Kenyon Sadiq,Justin Jefferson,Broncos,49800,6
7,Brock Purdy,Christian McCaffrey,Javonte Williams,Caleb Douglas,CeeDee Lamb,Deebo Samuel Sr.,Cade Otton,Mike Evans,Patriots,50000,7
8,Bo Nix,Bijan Robinson,Rhamondre Stevenson,Courtland Sutton,Drake London,Michael Wilson,Evan Engram,Parker Washington,49ers,49800,8
9,Jordan Love,Bijan Robinson,Chuba Hubbard,Christian Watson,Drake London,Garrett Wilson,Harold Fannin Jr.,Matthew Golden,Patriots,50000,9
10,Carson Wentz,Aaron Jones Sr.,Derrick Henry,Christian Watson,Drake London,Jordan Addison,Colston Loveland,Justin Jefferson,Broncos,49800,10
11,Bryce Young,Bijan Robinson,De'Von Achane,Caleb Douglas,Jalen Coker,Justin Jefferson,Dalton Schultz,Tetairoa McMillan,Eagles,49900,11
12,Jayden Daniels,Bucky Irving,Javonte Williams,Christian Watson,Justin Jefferson,Stefon Diggs,Tommy Tremble,Terry McLaurin,49ers,49700,12
13,C.J. Stroud,David Montgomery,Javonte Williams,CeeDee Lamb,Ja'Marr Chase,Kayshon Boutte,Dalton Schultz,Rhamondre Stevenson,49ers,50000,13
14,Bo Nix,Derrick Henry,Jacory Croskey-Merritt,Courtland Sutton,Jaylen Waddle,Justin Jefferson,David Njoku,Parker Washington,Jaguars,49800,14
15,Jacoby Brissett,Chase Brown,Javonte Williams,Jaxon Smith-Njigba,Justin Jefferson,Kendrick Bourne,Dalton Schultz,Michael Wilson,Patriots,49800,15
16,Jordan Love,Bijan Robinson,Derrick Henry,Adonai Mitchell,Christian Watson,Drake London,Tucker Kraft,Kalif Raymond,49ers,49800,16
