gsis_id,display_name,team,depth_rank,injury_status,status,salary,proj_points
00-0038416,Tyson Bagent,CHI,2,,,4000,16.545461079839818
00-0039923,J.J. McCarthy,MIN,3,,,4300,15.905346653749357
00-0028986,Case Keenum,CHI,3,,,4000,15.554942528568196
00-0038400,Tanner McKee,PHI,3,,,4000,14.310156070401511
00-0036879,Sam Ehlinger,DEN,3,,,4000,14.26390868173415
00-0037012,Trey Lance,LAC,2,,,4000,13.74761668089275
00-0035264,Jarrett Stidham,DEN,2,,,4200,13.496670918720516
00-0027973,Andy Dalton,PHI,2,,,4000,13.47522796438884
00-0036898,Davis Mills,HOU,2,,,4000,13.121440417214124
00-0037077,Sam Howell,DAL,2,,,4000,12.676199298337531
00-0032268,Marcus Mariota,WAS,2,,,4000,12.210507002888804
00-0038476,Tommy DeVito,NE,2,,,4000,11.8810841139636
00-0034771,Mason Rudolph,PIT,2,,,4000,11.781435291000646
00-0038579,Aidan O'Connell,LV,3,Questionable,Q,4000,11.504034018717588
00-0028118,Tyrod Taylor,GB,2,,,4000,11.340998591234268
00-0031503,Jameis Winston,NYG,2,,,4000,11.240693681833466
00-0035993,Tyler Huntley,BAL,2,,,4000,11.177225087296272
00-0033869,Mitchell Trubisky,TEN,2,,,4000,11.066125793152258
00-0040668,Shedeur Sanders,CLE,2,,,4500,10.8695608042458
00-0040234,Quinn Ewers,JAX,2,,,4000,10.317503734158343
00-0039376,Spencer Rattler,NO,2,,,4000,9.556191669551067
00-0036972,Mac Jones,SF,2,,,4000,9.495906741429357
00-0035289,Gardner Minshew II,ARI,2,,,4000,9.45086138354805
00-0040206,Riley Leonard,IND,3,,,4000,9.23667871259712
00-0037013,Zach Wilson,NO,3,,,4000,9.167916393259423
00-0039164,Anthony Richardson Sr.,IND,2,,,4000,8.19372745021682
00-0040398,Brady Cook,MIA,3,,,4000,7.009971369757007
00-0026158,Joe Flacco,CIN,2,,,4100,5.680505084407008
00-0038102,Kenny Pickett,CAR,2,,,4000,5.5729047482421565
00-0036945,Justin Fields,KC,2,,,4500,4.025156064522622
00-0040203,Will Howard,PIT,3,,,4000,2.8755179231304444
00-0041565,Drew Allar,PIT,4,,,4000,2.425377990770467
00-0040673,Jalen Milroe,SEA,3,,,4400,2.3366144624783405
00-0041562,Fernando Mendoza,LV,2,,,4500,2.14086698590944
00-0040014,Kyle McCord,MIA,2,,,4000,1.98770372548256
00-0041561,Carson Beck,ARI,3,,,4000,1.8080985532019995
00-0040891,Cole Payton,PHI,4,,,4000,1.7293256859097876
00-0041149,Haynes King,CAR,3,,,4000,1.6271999660659229
00-0041056,Cade Klubnik,NYJ,2,,,4000,1.5843549202256368
00-0041123,Behren Morton,NE,3,,,4000,1.54879582456122
00-0041251,Jalon Daniels,TB,2,,,4000,1.539406779628271
00-0041092,Taylen Green,CLE,3,,,4000,1.4659404996315593
00-0040906,Garrett Nussmeier,KC,3,,,4000,1.3750841055826566
00-0041117,Athan Kaliakmanis,WAS,3,,,4000,1.3655291747389713
00-0040981,Joe Fagnano,BAL,3,,,4000,1.238591858263018
00-0040589,Kurtis Rourke,SF,3,,,4000,1.1497562270456538
00-0039107,Stetson Bennett IV,LA,2,,,4000,1.1160535270023022
00-0041568,Ty Simpson,LA,3,,,4000,1.1042633540899145
