gsis_id,display_name,team,position,depth_rank,injury_status,status,salary,proj_points
00-0033119,Jacoby Brissett,ARI,QB,1,,None,5000,15.377992136900527
00-0035289,Gardner Minshew II,ARI,QB,2,,None,4000,9.45086138354805
00-0041561,Carson Beck,ARI,QB,3,,None,4000,1.8080985532019993
00-0041194,Jack Strand,ATL,QB,4,,None,4000,2.5622960639485166
00-0033662,Cooper Rush,ATL,QB,3,,None,4200,14.44258239594705
00-0039917,Michael Penix Jr.,ATL,QB,1,Out,OUT,4700,0.0
00-0036212,Tua Tagovailoa,ATL,QB,2,Doubtful,D,4700,17.47179638200753
00-0035993,Tyler Huntley,BAL,QB,2,,None,4000,11.177225087296272
00-0034796,Lamar Jackson,BAL,QB,1,,None,7300,22.10361417171379
00-0040981,Joe Fagnano,BAL,QB,3,,None,4000,1.238591858263018
00-0038102,Kenny Pickett,CAR,QB,2,,None,4000,5.5729047482421565
00-0041149,Haynes King,CAR,QB,3,,None,4000,1.6271999660659227
00-0039150,Bryce Young,CAR,QB,1,,None,5400,18.604842776175456
00-0038416,Tyson Bagent,CHI,QB,2,,None,4000,16.545461079839818
00-0028986,Case Keenum,CHI,QB,3,,None,4000,15.554942528568196
00-0039918,Caleb Williams,CHI,QB,1,,None,6800,21.99792997306504
00-0026158,Joe Flacco,CIN,QB,2,,None,4100,5.680505084407008
00-0036442,Joe Burrow,CIN,QB,1,Questionable,Q,6600,20.983213576083806
00-0040668,Shedeur Sanders,CLE,QB,2,,None,4500,10.869560804245799
00-0041092,Taylen Green,CLE,QB,3,,None,4000,1.4659404996315593
00-0033537,Deshaun Watson,CLE,QB,1,,None,4500,13.246867057001968
00-0037077,Sam Howell,DAL,QB,2,,None,4000,12.676199298337533
00-0033077,Dak Prescott,DAL,QB,1,,None,6400,21.554448912304032
00-0039732,Bo Nix,DEN,QB,1,,None,5700,19.48562494908448
00-0036879,Sam Ehlinger,DEN,QB,3,,None,4000,14.26390868173415
00-0035264,Jarrett Stidham,DEN,QB,2,,None,4200,13.496670918720515
00-0036264,Jordan Love,GB,QB,1,,None,5900,20.134631922289856
00-0028118,Tyrod Taylor,GB,QB,2,,None,4000,11.340998591234268
00-0039163,C.J. Stroud,HOU,QB,1,,None,5500,19.362576780912296
00-0036898,Davis Mills,HOU,QB,2,,None,4000,13.121440417214123
00-0040206,Riley Leonard,IND,QB,3,,,4000,9.23667871259712
00-0039164,Anthony Richardson Sr.,IND,QB,2,,,4000,8.19372745021682
00-0035710,Daniel Jones,IND,QB,1,,,5200,17.24138836422187
00-0036971,Trevor Lawrence,JAX,QB,1,,None,5800,17.03520701091253
00-0040234,Quinn Ewers,JAX,QB,2,,None,4000,10.317503734158345
00-0033873,Patrick Mahomes,KC,QB,1,,,5500,20.440440413122477
00-0036945,Justin Fields,KC,QB,2,,,4500,4.025156064522622
00-0040906,Garrett Nussmeier,KC,QB,3,,,4000,1.3750841055826566
00-0039107,Stetson Bennett IV,LA,QB,2,,,4000,1.1160535270023022
00-0041568,Ty Simpson,LA,QB,3,,,4000,1.1042633540899143
00-0026498,Matthew Stafford,LA,QB,1,,,6000,17.406855620718826
00-0036355,Justin Herbert,LAC,QB,1,,None,6000,20.441575119491226
00-0037012,Trey Lance,LAC,QB,2,,None,4000,13.74761668089275
00-0038579,Aidan O'Connell,LV,QB,3,Questionable,Q,4000,11.504034018717588
00-0041562,Fernando Mendoza,LV,QB,2,,None,4500,2.14086698590944
00-0029604,Kirk Cousins,LV,QB,1,,None,5000,14.452113515400757
00-0038128,Malik Willis,MIA,QB,1,,None,5200,15.652448136003617
00-0040014,Kyle McCord,MIA,QB,2,,None,4000,1.9877037254825602
00-0040398,Brady Cook,MIA,QB,3,,None,4000,7.009971369757007
00-0039923,J.J. McCarthy,MIN,QB,3,,None,4300,15.905346653749355
00-0032950,Carson Wentz,MIN,QB,2,,None,4600,15.953080555556475
00-0035228,Kyler Murray,MIN,QB,1,Out,OUT,5100,0.0
00-0039851,Drake Maye,NE,QB,1,,None,6100,19.350279262204978
00-0041123,Behren Morton,NE,QB,3,,None,4000,1.54879582456122
00-0038476,Tommy DeVito,NE,QB,2,,None,4000,11.8810841139636
00-0040743,Tyler Shough,NO,QB,1,,None,5300,17.176705769801806
00-0039376,Spencer Rattler,NO,QB,2,,None,4000,9.556191669551069
00-0037013,Zach Wilson,NO,QB,3,,None,4000,9.167916393259423
00-0040691,Jaxson Dart,NYG,QB,1,,,5800,18.860229149084518
00-0031503,Jameis Winston,NYG,QB,2,,,4000,11.240693681833466
00-0030565,Geno Smith,NYJ,QB,1,,None,4800,16.286084316099963
00-0041056,Cade Klubnik,NYJ,QB,2,,None,4000,1.5843549202256368
00-0036389,Jalen Hurts,PHI,QB,1,,None,6700,21.437885886623533
