season,week,score_rank,tag,lineup_score,player,pos,team,salary,proj,actual
2019,2,1,boom,174.1,Le'Veon Bell,RB,NYJ,7600,23.6,21.9
2019,2,1,boom,174.1,Kenny Golladay,WR,DET,6600,17.8,28.7
2019,2,1,boom,174.1,Tyler Boyd,WR,CIN,6500,18.4,25.2
2019,2,1,boom,174.1,Austin Ekeler,RB,LAC,6100,17.5,24.3
2019,2,1,boom,174.1,Cooper Kupp,WR,LA,6000,15.3,20.6
2019,2,1,boom,174.1,Matthew Stafford,QB,DET,5200,17.9,17.1
2019,2,1,boom,174.1,Marvin Jones,WR,DET,4900,14.3,9.3
2019,2,1,boom,174.1,Greg Olsen,TE,CAR,3300,30.6,20.0
2019,2,1,boom,174.1,SFO DST,DST,SFO,2800,26.3,7.0
2019,2,2,boom,159.9,Saquon Barkley,RB,NYG,9200,16.4,25.5
2019,2,2,boom,159.9,Julian Edelman,WR,NE,6900,20.5,9.2
2019,2,2,boom,159.9,Robert Woods,WR,LA,6400,18.3,6.2
2019,2,2,boom,159.9,Austin Ekeler,RB,LAC,6100,17.5,24.3
2019,2,2,boom,159.9,Matt Ryan,QB,ATL,6100,27.0,25.1
2019,2,2,boom,159.9,Calvin Ridley,WR,ATL,5000,10.0,27.5
2019,2,2,boom,159.9,Nelson Agholor,WR,PHI,3700,17.3,27.7
2019,2,2,boom,159.9,Austin Hooper,TE,ATL,3100,20.1,7.4
2019,2,2,boom,159.9,SFO DST,DST,SFO,2800,26.3,7.0
2019,2,3,boom,157.8,Saquon Barkley,RB,NYG,9200,16.4,25.5
2019,2,3,boom,157.8,Tyler Boyd,WR,CIN,6500,18.4,25.2
2019,2,3,boom,157.8,Chris Carson,RB,SEA,6400,15.2,10.7
2019,2,3,boom,157.8,Tyler Lockett,WR,SEA,6200,13.9,17.9
2019,2,3,boom,157.8,Russell Wilson,QB,SEA,6200,19.1,28.2
2019,2,3,boom,157.8,DK Metcalf,WR,SEA,4300,9.8,15.1
2019,2,3,boom,157.8,Donte Moncrief,WR,PIT,4000,26.6,0.0
2019,2,3,boom,157.8,Mark Andrews,TE,BAL,3800,20.5,28.2
2019,2,3,boom,157.8,SFO DST,DST,SFO,2800,26.3,7.0
2019,2,4,boom,152.7,Christian McCaffrey,RB,CAR,9400,29.0,7.3
2019,2,4,boom,152.7,Saquon Barkley,RB,NYG,9200,16.4,25.5
2019,2,4,boom,152.7,Julio Jones,WR,ATL,7300,16.3,30.6
2019,2,4,boom,152.7,Matt Ryan,QB,ATL,6100,27.0,25.1
2019,2,4,boom,152.7,Mohamed Sanu,WR,ATL,4500,12.0,5.6
2019,2,4,boom,152.7,Nelson Agholor,WR,PHI,3700,17.3,27.7
2019,2,4,boom,152.7,Greg Olsen,TE,CAR,3300,30.6,20.0
2019,2,4,boom,152.7,Kyle Rudolph,TE,MIN,3200,18.1,3.9
2019,2,4,boom,152.7,SFO DST,DST,SFO,2800,26.3,7.0
2019,2,5,boom,151.8,Keenan Allen,WR,LAC,7600,19.5,17.8
2019,2,5,boom,151.8,Zach Ertz,TE,PHI,6300,14.0,17.2
2019,2,5,boom,151.8,Matt Ryan,QB,ATL,6100,27.0,25.1
2019,2,5,boom,151.8,Austin Ekeler,RB,LAC,6100,17.5,24.3
2019,2,5,boom,151.8,D.J. Moore,WR,CAR,5900,18.7,17.9
2019,2,5,boom,151.8,Calvin Ridley,WR,ATL,5000,10.0,27.5
2019,2,5,boom,151.8,Devonta Freeman,RB,ATL,5000,12.1,9.4
2019,2,5,boom,151.8,Mohamed Sanu,WR,ATL,4500,12.0,5.6
2019,2,5,boom,151.8,SFO DST,DST,SFO,2800,26.3,7.0
2019,2,6,boom,148.4,Alvin Kamara,RB,NO,8200,25.9,7.0
2019,2,6,boom,148.4,Michael Thomas,WR,NO,8000,19.1,18.9
2019,2,6,boom,148.4,Kenny Golladay,WR,DET,6600,17.8,28.7
2019,2,6,boom,148.4,Austin Ekeler,RB,LAC,6100,17.5,24.3
2019,2,6,boom,148.4,Matthew Stafford,QB,DET,5200,17.9,17.1
2019,2,6,boom,148.4,Marvin Jones,WR,DET,4900,14.3,9.3
2019,2,6,boom,148.4,Mark Andrews,TE,BAL,3800,20.5,28.2
2019,2,6,boom,148.4,Tre'Quan Smith,WR,NO,3700,17.8,7.9
2019,2,6,boom,148.4,SFO DST,DST,SFO,2800,26.3,7.0
2019,2,7,boom,145.1,Christian McCaffrey,RB,CAR,9400,29.0,7.3
2019,2,7,boom,145.1,Mike Evans,WR,TB,7000,19.0,10.1
2019,2,7,boom,145.1,Chris Godwin,WR,TB,6500,13.5,29.1
2019,2,7,boom,145.1,Jameis Winston,QB,TB,5900,21.1,13.2
2019,2,7,boom,145.1,D.J. Moore,WR,CAR,5900,18.7,17.9
2019,2,7,boom,145.1,Emmanuel Sanders,WR,DEN,4700,14.3,28.8
2019,2,7,boom,145.1,Devin Singletary,RB,BUF,4200,8.9,11.7
2019,2,7,boom,145.1,Greg Olsen,TE,CAR,3300,30.6,20.0
2019,2,7,boom,145.1,SFO DST,DST,SFO,2800,26.3,7.0
2019,2,8,boom,143.1,Michael Thomas,WR,NO,8000,19.1,18.9
2019,2,8,boom,143.1,Le'Veon Bell,RB,NYJ,7600,23.6,21.9
2019,2,8,boom,143.1,Kenny Golladay,WR,DET,6600,17.8,28.7
2019,2,8,boom,143.1,Tyler Boyd,WR,CIN,6500,18.4,25.2
2019,2,8,boom,143.1,Austin Ekeler,RB,LAC,6100,17.5,24.3
