dd,display_name,position,team,gsis_id,salary,mean_projection,market_points,depth_rank,practice_level,injury_status,dk_ppg,games_24_25,big_games,big_share,big_injury_driven,last_big,last_big_pts,last_big_injury_driven,mean_24_25,p90_24_25
43727243,Trevor Lawrence,QB,JAX,00-0036971,5800,20.344865977633898,18.55887178578105,1,,,21.0,34.0,5.0,0.15,0.0,2025-w16,31.2,False,15.2,27.3
43728219,Colston Loveland,TE,CHI,00-0040126,5300,10.943602779373666,12.213977583631904,1,,,11.4,17.0,3.0,0.18,0.0,2025-w18,25.1,False,9.9,22.9
43727355,Travis Etienne Jr.,RB,NO,00-0036973,5900,16.473142214042223,13.5494074784116,1,,,15.7,34.0,5.0,0.15,0.0,2025-w15,31.5,False,11.5,21.0
43728529,Eagles,DST,PHI,0.0,3200,8.89075,,,,,7.8,,,,,,,,,
43727781,Luke McCaffrey,WR,WAS,00-0039355,3500,5.226575284615977,,6,,,5.7,33.0,0.0,0.0,0.0,none,,,2.6,7.1
43727399,MarShawn Lloyd,RB,GB,00-0039811,4800,11.867410314561422,9.975714980229569,1,,,,33.0,0.0,0.0,0.0,none,,,0.1,0.0
43728275,Brock Wright,TE,DET,00-0036754,2900,3.1944571878914183,,2,,,3.3,32.0,0.0,0.0,0.0,none,,,2.2,7.5
43727635,Justin Jefferson,WR,MIN,00-0036322,7300,14.355825713336419,15.35389612864969,1,,,12.4,33.0,12.0,0.36,0.0,2025-w18,21.4,False,16.2,25.4
43728225,Dalton Kincaid,TE,BUF,00-0038933,4600,8.686046772300084,8.614636649929052,1,,,11.7,34.0,3.0,0.09,0.0,2025-w9,25.1,False,6.9,14.6
43727719,Jalen Nailor,WR,LV,00-0037291,4300,8.2387142189375,6.883440752659645,2,,,6.1,33.0,1.0,0.03,0.0,2025-w10,26.4,False,6.3,14.0
43727357,Bhayshul Tuten,RB,JAX,00-0040719,5800,12.784488717298952,10.13555606327196,1,,,5.9,17.0,0.0,0.0,0.0,none,,,5.3,11.1
43727653,Jameson Williams,WR,DET,00-0037240,6000,12.085252006087256,11.770316068871177,2,,,13.6,32.0,7.0,0.22,0.0,2025-w15,29.4,False,13.0,26.8
43727333,Chase Brown,RB,CIN,00-0038597,7100,17.178662943068502,15.788755880653902,1,,,17.2,33.0,8.0,0.24,0.0,2025-w17,32.1,False,16.1,26.1
43727707,Jalen Coker,WR,CAR,00-0039491,4600,10.142587770157927,8.726539207213085,2,,,10.2,33.0,1.0,0.03,0.0,2024-w15,24.0,False,5.2,14.8
43728233,Dallas Goedert,TE,PHI,00-0034351,4100,8.791524807169255,8.962463408140618,1,,,13.0,34.0,6.0,0.18,0.0,2025-w15,25.0,False,8.7,19.1
43727251,Bryce Young,QB,CAR,00-0039150,5200,19.031284152785275,16.674018953418532,1,,,15.4,33.0,4.0,0.12,0.0,2025-w11,34.8,False,13.0,25.8
43727669,Parker Washington,WR,JAX,00-0038606,5600,10.895527922151716,11.83771513493863,2,,,12.8,34.0,3.0,0.09,0.0,2025-w17,22.0,False,8.5,19.2
43727665,Alec Pierce,WR,IND,00-0037664,5700,10.928891368325328,7.872577710895318,1,1.0,,12.6,34.0,6.0,0.18,0.0,2025-w18,32.2,False,10.6,24.6
