lineup,contest,player,pos,team,salary,pts,detail
1,193028206,Tyler Shough,QB,NO,5600,29.2,35/56 410yd 3TD 2INT; 4car 8yd 0TD
1,193028206,Jonathan Taylor,RB,IND,7300,26.1,19car 98yd 2TD; 3rec 23yd 0TD (tgt 4)
1,193028206,Jahmyr Gibbs,RB,DET,8000,37.6,29car 156yd 2TD; 5rec 30yd 0TD (tgt 5)
1,193028206,Ja'Marr Chase,WR,CIN,7800,3.2,2rec 12yd 0TD (tgt 4)
1,193028206,Devaughn Vele,WR,NO,3500,19.9,7rec 69yd 1TD (tgt 9)
1,193028206,Tre Tucker,WR,LV,4000,4.7,2rec 27yd 0TD (tgt 4)
1,193028206,Juwan Johnson,TE,NO,3700,14.4,3rec 54yd 1TD (tgt 7)
1,193028206,De'Von Achane,RB,MIA,7000,9.1,11car 36yd 0TD; 3rec 25yd 0TD (tgt 4)
1,193028206,Titans,DST,TEN,3100,0.0,PA 23 sacks 0 int 0 fr 0 td 0
2,193028206,Justin Herbert,QB,LAC,6100,12.5,13/22 165yd 1TD 1INT; 5car 29yd 0TD
2,193028206,Jahmyr Gibbs,RB,DET,8000,37.6,29car 156yd 2TD; 5rec 30yd 0TD (tgt 5)
2,193028206,Ashton Jeanty,RB,LV,6600,36.0,21car 105yd 0TD; 6rec 45yd 2TD (tgt 6)
2,193028206,Quentin Johnston,WR,LAC,4700,3.7,2rec 17yd 0TD (tgt 5)
2,193028206,Ladd McConkey,WR,LAC,5900,19.2,5rec 82yd 1TD (tgt 7)
2,193028206,Marvin Harrison Jr.,WR,ARI,5000,4.3,1rec 33yd 0TD (tgt 3)
2,193028206,Michael Mayer,TE,LV,2900,9.2,6rec 32yd 0TD (tgt 7)
2,193028206,Omarion Hampton,RB,LAC,6800,9.3,12car 43yd 1TD
2,193028206,Jaguars,DST,JAX,3400,15.0,PA 10 sacks 5 int 1 fr 2 td 0
3,193028206,Kyler Murray,QB,MIN,5500,0.6,3/5 18yd 0TD 1INT; 2car 9yd 0TD
3,193028206,Travis Etienne Jr.,RB,NO,5900,14.8,9car 46yd 0TD; 7rec 32yd 0TD (tgt 9)
3,193028206,MarShawn Lloyd,RB,GB,4800,4.0,12car 40yd 0TD
3,193028206,Justin Jefferson,WR,MIN,7300,21.3,7rec 83yd 1TD (tgt 8)
3,193028206,Wan'Dale Robinson,WR,TEN,4800,8.8,5rec 38yd 0TD (tgt 6)
3,193028206,Zay Flowers,WR,BAL,6400,29.0,5rec 150yd 1TD (tgt 6)
3,193028206,T.J. Hockenson,TE,MIN,3300,13.6,4rec 36yd 1TD (tgt 5)
3,193028206,Jahmyr Gibbs,RB,DET,8000,37.6,29car 156yd 2TD; 5rec 30yd 0TD (tgt 5)
3,193028206,Jaguars,DST,JAX,3400,15.0,PA 10 sacks 5 int 1 fr 2 td 0
4,193028206,Baker Mayfield,QB,TB,5900,14.6,23/28 216yd 0TD 0INT; 5car 30yd 1TD
4,193028206,D'Andre Swift,RB,CHI,6100,35.4,18car 124yd 3TD; 1rec 10yd 0TD (tgt 1)
4,193028206,De'Von Achane,RB,MIA,7000,9.1,11car 36yd 0TD; 3rec 25yd 0TD (tgt 4)
4,193028206,Chris Godwin Jr.,WR,TB,5200,8.3,1car 3yd 0TD; 4rec 40yd 0TD (tgt 4)
4,193028206,Tee Higgins,WR,CIN,6300,8.9,3rec 59yd 0TD (tgt 6)
4,193028206,Emeka Egbuka,WR,TB,6200,11.3,5rec 63yd 0TD (tgt 6)
4,193028206,Juwan Johnson,TE,NO,3700,14.4,3rec 54yd 1TD (tgt 7)
