lineup,contest,total
1,193028206,144.2
2,193028206,146.8
3,193028206,152.8
4,193028206,138.3
5,193028206,179.3
6,193028206,149.5
7,193028206,172.5
8,193028206,177.3
9,193028206,165.0
10,193028206,111.5
11,193028206,175.4
12,193028206,138.6
13,193028206,151.3
14,193028206,145.0
15,193028206,137.2
16,193028206,135.8
17,193028206,180.7
18,193028206,104.4
19,193028206,108.9
20,193028206,128.5
21,193028206,165.7
22,193028206,158.0
23,193028206,142.7
24,193028206,167.5
25,193028206,161.3
26,193028206,137.7
27,193028206,88.0
28,193028206,171.3
29,193028206,137.1
30,193028206,182.3
31,193028206,107.9
32,193028206,113.8
33,193028206,182.5
34,193028206,119.2
35,193028206,137.4
36,193028206,129.4
37,193028206,106.1
38,193028206,189.7
39,193028206,154.6
40,193028206,121.6
41,193028206,158.1
42,193028206,126.5
43,193028206,117.2
44,193028206,180.7
45,193028206,158.1
46,193028206,150.1
47,193028206,141.9
48,193028206,148.6
49,193028206,140.5
50,193028206,148.4
51,193028206,148.6
52,193028206,154.4
53,193028206,127.9
54,193028206,122.7
55,193028206,155.0
56,193028206,157.3
57,193028206,123.6
58,193028208,162.8
59,193028208,147.0
60,193028208,188.3
61,193028208,75.4
62,193028208,170.1
63,193028208,151.4
64,193028208,117.0
65,193028208,109.6
66,193028208,122.5
67,193028208,129.8
68,193028208,141.0
69,193028208,133.6
70,193028208,122.2
71,193028208,164.5
72,193028208,110.2
73,193028208,125.8
74,193028208,150.7
75,193028208,135.0
76,193028208,176.3
77,193028208,127.1
78,194478066,107.4
79,194478066,141.7
80,194478066,140.2
