rank,player,slot,own,pts,salary,proj_pct,proj,practice_dnp,in_frame,stacked,big_share,unproven
1,D'Andre Swift,FLEX,8.13,35.4,6100,0.8378378378378378,15.45843368515677,False,True,False,0.26,False
1,Jordan Love,QB,1.72,24.48,5700,0.8148148148148148,19.769646998150044,False,True,False,0.12,False
1,Jahmyr Gibbs,RB,38.58,37.6,8000,1.0,21.526515056209313,False,True,False,0.47,False
1,Derrick Henry,RB,8.03,38.3,6700,0.9054054054054054,16.49501134085248,False,True,False,0.41,False
1,Dallas Goedert,TE,8.36,23.7,4100,0.9176470588235294,8.791524807169255,False,True,False,0.18,False
1,Christian Watson,WR,3.76,35.7,5900,0.9,12.718952965483389,False,True,True,0.12,False
1,DJ Moore,WR,4.01,24.0,5600,0.8769230769230769,11.762126391292894,False,True,False,0.24,False
1,Jalen Coker,WR,6.59,36.8,4600,0.7615384615384615,10.142587770157927,False,True,False,0.03,False
2,David Montgomery,FLEX,4.82,28.9,6000,0.8108108108108109,13.567702567178092,False,True,False,0.12,False
2,Tyler Shough,QB,8.88,29.2,5600,0.8333333333333334,19.84882306580669,False,True,False,0.0,True
2,Jahmyr Gibbs,RB,38.58,37.6,8000,1.0,21.526515056209313,False,True,False,0.47,False
2,D'Andre Swift,RB,8.13,35.4,6100,0.8378378378378378,15.45843368515677,False,True,False,0.26,False
2,Juwan Johnson,TE,11.2,14.4,3700,0.9411764705882353,9.21520486133852,False,True,True,0.15,False
2,Chris Olave,WR,23.65,31.2,6700,0.9846153846153847,15.67457550636562,False,True,True,0.21,False
2,Christian Watson,WR,3.76,35.7,5900,0.9,12.718952965483389,False,True,False,0.12,False
2,Jalen Coker,WR,6.59,36.8,4600,0.7615384615384615,10.142587770157927,False,True,False,0.03,False
3,Ashton Jeanty,FLEX,7.22,35.7,6600,0.8648648648648649,16.113552507542693,False,True,False,0.18,False
3,Tyler Shough,QB,8.88,29.2,5600,0.8333333333333334,19.84882306580669,False,True,False,0.0,True
3,Jahmyr Gibbs,RB,38.58,37.6,8000,1.0,21.526515056209313,False,True,False,0.47,False
3,Derrick Henry,RB,8.03,38.3,6700,0.9054054054054054,16.49501134085248,False,True,False,0.41,False
3,Juwan Johnson,TE,11.2,14.4,3700,0.9411764705882353,9.21520486133852,False,True,True,0.15,False
3,Chris Olave,WR,23.65,31.2,6700,0.9846153846153847,15.67457550636562,False,True,True,0.21,False
3,Christian Watson,WR,3.76,35.7,5900,0.9,12.718952965483389,False,True,False,0.12,False
3,Devaughn Vele,WR,7.88,19.9,3500,0.7153846153846154,8.3826808189502,False,True,True,0.03,False
4,Chase Brown,FLEX,9.78,18.8,7100,0.9594594594594594,17.178662943068502,False,True,False,0.24,False
4,Bryce Young,QB,3.31,35.44,5200,0.7592592592592593,19.031284152785275,False,True,False,0.12,False
4,Jahmyr Gibbs,RB,38.58,37.6,8000,1.0,21.526515056209313,False,True,False,0.47,False
4,Derrick Henry,RB,8.03,38.3,6700,0.9054054054054054,16.49501134085248,False,True,False,0.41,False
4,Dallas Goedert,TE,8.36,23.7,4100,0.9176470588235294,8.791524807169255,False,True,False,0.18,False
4,Justin Jefferson,WR,10.9,31.2,7300,0.9615384615384616,14.355825713336419,False,True,False,0.36,False
4,Jalen Coker,WR,6.59,36.8,4600,0.7615384615384615,10.142587770157927,False,True,True,0.03,False
4,Devaughn Vele,WR,7.88,19.9,3500,0.7153846153846154,8.3826808189502,False,True,False,0.03,False
5,Derrick Henry,FLEX,8.03,38.3,6700,0.9054054054054054,16.49501134085248,False,True,False,0.41,False
5,Bryce Young,QB,3.31,35.44,5200,0.7592592592592593,19.031284152785275,False,True,False,0.12,False
5,Jahmyr Gibbs,RB,38.58,37.6,8000,1.0,21.526515056209313,False,True,False,0.47,False
5,D'Andre Swift,RB,8.13,35.4,6100,0.8378378378378378,15.45843368515677,False,True,False,0.26,False
5,Dallas Goedert,TE,8.36,23.7,4100,0.9176470588235294,8.791524807169255,False,True,False,0.18,False
5,Chris Olave,WR,23.65,31.2,6700,0.9846153846153847,15.67457550636562,False,True,False,0.21,False
5,Tetairoa McMillan,WR,11.64,11.5,6100,0.9307692307692308,13.806004254318932,False,True,True,0.06,False
5,Jalen Coker,WR,6.59,36.8,4600,0.7615384615384615,10.142587770157927,False,True,True,0.03,False
5,D'Andre Swift,FLEX,8.13,35.4,6100,0.8378378378378378,15.45843368515677,False,True,False,0.26,False
5,Bryce Young,QB,3.31,35.44,5200,0.7592592592592593,19.031284152785275,False,True,False,0.12,False
5,Jahmyr Gibbs,RB,38.58,37.6,8000,1.0,21.526515056209313,False,True,False,0.47,False
5,Derrick Henry,RB,8.03,38.3,6700,0.9054054054054054,16.49501134085248,False,True,False,0.41,False
5,Dallas Goedert,TE,8.36,23.7,4100,0.9176470588235294,8.791524807169255,False,True,False,0.18,False
5,Chris Olave,WR,23.65,31.2,6700,0.9846153846153847,15.67457550636562,False,True,False,0.21,False
5,Tetairoa McMillan,WR,11.64,11.5,6100,0.9307692307692308,13.806004254318932,False,True,True,0.06,False
5,Jalen Coker,WR,6.59,36.8,4600,0.7615384615384615,10.142587770157927,False,True,True,0.03,False
7,Ashton Jeanty,FLEX,7.22,35.7,6600,0.8648648648648649,16.113552507542693,False,True,False,0.18,False
7,Bryce Young,QB,3.31,35.44,5200,0.7592592592592593,19.031284152785275,False,True,False,0.12,False
7,Jahmyr Gibbs,RB,38.58,37.6,8000,1.0,21.526515056209313,False,True,False,0.47,False
7,Derrick Henry,RB,8.03,38.3,6700,0.9054054054054054,16.49501134085248,False,True,False,0.41,False
7,Juwan Johnson,TE,11.2,14.4,3700,0.9411764705882353,9.21520486133852,False,True,False,0.15,False
7,Chris Olave,WR,23.65,31.2,6700,0.9846153846153847,15.67457550636562,False,True,False,0.21,False
7,Zay Flowers,WR,10.41,29.0,6400,0.9692307692307692,14.405208199792202,False,True,False,0.25,False
7,Jalen Coker,WR,6.59,36.8,4600,0.7615384615384615,10.142587770157927,False,True,True,0.03,False
8,Derrick Henry,FLEX,8.03,38.3,6700,0.9054054054054054,16.49501134085248,False,True,False,0.41,False
8,Josh Allen,QB,3.05,38.66,7000,0.8518518518518519,20.030034069033793,False,True,False,0.29,False
8,D'Andre Swift,RB,8.13,35.4,6100,0.8378378378378378,15.45843368515677,False,True,False,0.26,False
8,David Montgomery,RB,4.82,28.9,6000,0.8108108108108109,13.567702567178092,False,True,False,0.12,False
8,Dalton Kincaid,TE,1.6,21.0,4600,0.9058823529411765,8.686046772300084,False,True,True,0.09,False
8,Chris Olave,WR,23.65,31.2,6700,0.9846153846153847,15.67457550636562,False,True,False,0.21,False
8,DJ Moore,WR,4.01,24.0,5600,0.8769230769230769,11.762126391292894,False,True,True,0.24,False
8,Jalen Coker,WR,6.59,36.8,4600,0.7615384615384615,10.142587770157927,False,True,False,0.03,False
9,D'Andre Swift,FLEX,8.13,35.4,6100,0.8378378378378378,15.45843368515677,False,True,False,0.26,False
9,Tyler Shough,QB,8.88,29.2,5600,0.8333333333333334,19.84882306580669,False,True,False,0.0,True
9,Jahmyr Gibbs,RB,38.58,37.6,8000,1.0,21.526515056209313,False,True,False,0.47,False
9,Bijan Robinson,RB,12.88,31.3,7700,0.972972972972973,17.78990290735156,False,True,False,0.59,False
9,Dallas Goedert,TE,8.36,23.7,4100,0.9176470588235294,8.791524807169255,False,True,False,0.18,False
9,Chris Olave,WR,23.65,31.2,6700,0.9846153846153847,15.67457550636562,False,True,True,0.21,False
9,Jalen Coker,WR,6.59,36.8,4600,0.7615384615384615,10.142587770157927,False,True,False,0.03,False
9,Devaughn Vele,WR,7.88,19.9,3500,0.7153846153846154,8.3826808189502,False,True,True,0.03,False
10,Bijan Robinson,FLEX,12.88,31.3,7700,0.972972972972973,17.78990290735156,False,True,False,0.59,False
10,Bryce Young,QB,3.31,35.44,5200,0.7592592592592593,19.031284152785275,False,True,False,0.12,False
10,Ashton Jeanty,RB,7.22,35.7,6600,0.8648648648648649,16.113552507542693,False,True,False,0.18,False
10,David Montgomery,RB,4.82,28.9,6000,0.8108108108108109,13.567702567178092,False,True,False,0.12,False
10,Sam LaPorta,TE,5.82,9.8,4400,0.9529411764705882,9.609505076795845,False,True,False,0.25,False
10,Chris Olave,WR,23.65,31.2,6700,0.9846153846153847,15.67457550636562,False,True,False,0.21,False
10,Christian Watson,WR,3.76,35.7,5900,0.9,12.718952965483389,False,True,False,0.12,False
10,Jalen Coker,WR,6.59,36.8,4600,0.7615384615384615,10.142587770157927,False,True,True,0.03,False
11,Tyler Warren,FLEX,4.26,10.3,4900,0.9764705882352941,10.451841369430548,False,True,False,0.24,False
11,Caleb Williams,QB,5.15,37.26,6300,0.9629629629629629,21.428643204188127,False,True,False,0.26,False
