cand,players,tag,salary,book_rank,book_rank_cov,sel_mean,sel_p194,aud_mean,aud_p194,gen_mean,book_rank_wemax,actual,actual_rank,actual_payout,e_payout,p_cash,p_top1000,p_top100,sim_mean,sim_q99,e_payout_capped,e_log
0,"00-0036040,00-0036223,00-0036900,00-0036963,00-0038563,00-0039139,00-0039376,00-0039424,JAX_DST",lev,49200,,,129.20276,0.0066,129.20276,0.0064,129.20276,,147.60000000000002,348815,0.0,9.1672,0.2986,0.0013,0.0001,129.20276,189.1372,3.2672,0.695698011220678
1,"00-0036040,00-0036900,00-0038542,00-0038563,00-0038597,00-0039139,00-0039376,00-0039424,JAX_DST",lev,49200,,,127.7678,0.0058,127.7678,0.0051,127.7678,,142.9,402053,0.0,3.271,0.2718,0.0018,0.0,127.7678,186.81395,3.271,0.6365264030887142
2,"00-0036040,00-0036900,00-0036963,00-0038542,00-0038563,00-0039139,00-0039376,00-0039424,PHI_DST",lev,49400,,,127.39039,0.0058,127.39039,0.005,127.3904,,142.8,403092,0.0,3.7685,0.2629,0.0008,0.0001,127.39039,189.04346,2.8685,0.6137865781122991
3,"00-0036040,00-0036223,00-0036900,00-0038542,00-0038563,00-0039139,00-0039376,00-0039424,TEN_DST",lev,49100,,,126.85515,0.0027,126.85516,0.0031,126.85516,,137.2,466661,0.0,2.5903,0.2501,0.0004,0.0,126.85515,183.88055,2.5903,0.5803824992978464
4,"00-0036040,00-0036550,00-0036900,00-0036963,00-0038542,00-0039139,00-0039376,00-0039424,JAX_DST",lev,49500,,,126.22883,0.006,126.22883,0.005,126.22881,,148.10000000000002,343353,0.0,3.3482,0.2504,0.0014,0.0001,126.22883,187.96785,2.9482,0.5866854717963327
5,"00-0034753,00-0036900,00-0037239,00-0038542,00-0038563,00-0039139,00-0039376,00-0039424,JAX_DST",lev,49000,,,125.59345,0.0048,125.59345,0.0034,125.59345,,149.8,324873,0.0,3.3453,0.2349,0.0011,0.0001,125.59346,183.95206,2.6953,0.5461906414545148
6,"00-0036040,00-0036223,00-0036900,00-0038542,00-0039139,00-0039376,00-0039424,00-0039890,JAX_DST",lev,49400,,,126.27205,0.0032,126.27205,0.0037,126.27205,,154.5,275242,0.0,2.7949,0.2448,0.0007,0.0001,126.27205,182.89844,2.6949,0.5699360503451726
7,"00-0036040,00-0036550,00-0036900,00-0037239,00-0038542,00-0038563,00-0039139,00-0039376,JAX_DST",lev,49200,,,125.62312,0.0045,125.62314,0.0032,125.62314,,135.39999999999998,487076,0.0,2.6359,0.2366,0.0009,0.0001,125.62314,184.43001,2.5359,0.5488543447266758
8,"00-0036040,00-0036900,00-0036963,00-0038563,00-0038597,00-0039139,00-0039376,00-0039424,LAC_DST",lev,49100,,,125.7884,0.0064,125.7884,0.0053,125.7884,,128.3,564249,0.0,2.7953,0.2421,0.0015,0.0,125.7884,189.82654,2.7953,0.5645270495803634
9,"00-0036040,00-0036900,00-0036963,00-0037248,00-0038563,00-0039139,00-0039376,00-0039424,PIT_DST",lev,49000,,,125.7838,0.0053,125.7838,0.0047,125.7838,,136.4,475653,0.0,2.8688,0.2428,0.0012,0.0001,125.7838,186.51436,2.7688,0.5651330904550937
10,"00-0036040,00-0036900,00-0036963,00-0038597,00-0039139,00-0039376,00-0039424,00-0039890,JAX_DST",lev,49000,,,125.747284,0.0076,125.747284,0.0047,125.747284,,144.6,382552,0.0,13.0225,0.2441,0.0019,0.0002,125.747284,190.49646,3.0725,0.5752787321713537
11,"00-0036040,00-0036223,00-0036900,00-0037248,00-0038563,00-0039139,00-0039376,00-0039424,LAC_DST",lev,49000,,,125.112076,0.0022,125.112076,0.0031,125.112076,,116.8,671553,0.0,2.5881,0.2292,0.0006,0.0001,125.112076,181.28152,2.4881,0.5298537507091367
12,"00-0034753,00-0036040,00-0036900,00-0036963,00-0037248,00-0039139,00-0039376,00-0039424,JAX_DST",lev,49000,,,125.830574,0.0053,125.830574,0.0044,125.830574,,135.60000000000002,484590,0.0,2.9604,0.2404,0.001,0.0001,125.830574,186.02264,2.8104,0.5611563096133022
13,"00-0036040,00-0036900,00-0038542,00-0038563,00-0039040,00-0039139,00-0039376,00-0039424,LAC_DST",lev,49200,,,124.96006,0.0025,124.960075,0.0018,124.960075,,122.7,619869,0.0,3.0438,0.2203,0.0009,0.0001,124.96006,182.6804,2.3938,0.5095562729800592
