season,week,static30,static80,n_any,rule30_any,rule80_any,n_noinj,rule30_noinj,rule80_noinj
2021,1,188.72,188.72,7,141.34,141.34,4,141.34,141.34
2021,2,155.56,195.24,16,142.92,142.92,13,142.92,142.92
2021,3,176.72,180.38,21,176.72,176.72,8,150.58,150.58
2021,4,198.52,198.52,19,198.52,198.52,15,198.52,198.52
2021,5,197.44,206.32,31,206.32,206.32,21,206.32,206.32
2021,6,183.12,183.12,14,169.5,169.5,11,169.5,169.5
2021,7,183.34,183.76,18,183.76,183.76,5,183.76,183.76
2021,8,158.9,163.6,29,158.9,158.9,12,154.3,154.3
2021,9,175.84,175.84,25,156.34,156.34,13,156.34,156.34
2021,10,141.08,141.08,28,133.22,133.22,9,133.22,133.22
2021,11,195.34,195.34,18,179.64,179.64,3,179.64,179.64
2021,12,176.74,176.74,38,154.48,154.48,17,144.44,144.44
2021,13,165.86,183.16,26,183.16,183.16,13,176.86,176.86
2021,14,164.34,181.64,8,168.34,168.34,1,151.62,151.62
2021,15,147.3,152.4,32,140.52,140.52,13,107.98,107.98
2021,16,183.7,192.7,15,192.7,192.7,5,170.1,170.1
2021,17,191.64,191.64,16,174.04,174.04,3,174.04,174.04
2021,18,169.2,176.7,17,169.2,169.2,11,153.72,153.72
2022,1,217.36,217.36,16,162.0,162.0,9,155.7,155.7
2022,2,222.92,222.92,18,222.92,222.92,9,222.92,222.92
2022,3,148.66,156.36,16,155.52,155.52,11,155.52,155.52
2022,4,176.72,197.12,12,173.58,173.58,8,173.58,173.58
2022,5,180.66,191.66,19,160.82,160.82,10,158.56,158.56
2022,6,173.5,173.5,4,137.66,137.66,2,137.66,137.66
2022,7,177.84,180.74,8,160.02,160.02,6,107.36,107.36
2022,8,250.58,250.58,4,133.88,133.88,2,127.24,127.24
2022,9,177.62,177.62,22,168.0,168.0,16,168.0,168.0
2022,10,195.26,195.26,18,195.26,195.26,15,195.26,195.26
2022,11,156.28,156.28,9,131.02,131.02,9,131.02,131.02
2022,12,163.52,185.42,10,185.42,185.42,5,133.96,133.96
2022,13,170.8,170.8,36,158.0,158.0,31,158.0,158.0
2022,14,187.1,193.62,6,156.96,156.96,3,138.32,138.32
2022,15,235.6,235.6,26,235.6,235.6,26,235.6,235.6
2022,16,173.8,173.8,3,121.56,121.56,3,121.56,121.56
2022,17,160.48,160.48,24,132.3,132.3,24,132.3,132.3
2022,18,144.06,151.52,14,151.52,151.52,12,151.52,151.52
2023,1,161.14,176.94,7,128.76,128.76,2,81.26,81.26
2023,2,159.06,159.06,4,150.84,150.84,4,150.84,150.84
2023,3,212.66,234.58,7,224.1,224.1,7,224.1,224.1
2023,4,184.16,184.16,9,157.86,157.86,9,157.86,157.86
2023,5,180.88,180.88,16,180.88,180.88,15,180.88,180.88
2023,6,158.28,175.38,14,136.54,136.54,14,136.54,136.54
2023,7,180.16,180.16,11,143.8,143.8,10,143.8,143.8
2023,8,165.06,188.28,12,188.28,188.28,12,188.28,188.28
2023,9,168.9,183.5,18,183.5,183.5,18,183.5,183.5
2023,10,186.62,197.18,10,183.14,183.14,10,183.14,183.14
2023,11,172.98,179.02,19,172.98,172.98,17,172.98,172.98
2023,12,160.64,162.16,13,150.46,150.46,13,150.46,150.46
2023,13,190.36,190.36,23,190.36,190.36,23,190.36,190.36
2023,14,180.28,182.84,14,173.38,173.38,14,173.38,173.38
2023,15,184.74,184.74,7,155.56,155.56,7,155.56,155.56
2023,16,187.62,202.42,11,163.52,163.52,11,163.52,163.52
2023,17,155.88,164.32,10,162.04,162.04,10,162.04,162.04
2023,18,154.46,154.46,19,150.56,150.56,19,150.56,150.56
2024,1,144.38,144.38,14,136.12,136.12,13,136.12,136.12
2024,2,174.08,174.08,10,144.62,144.62,6,144.62,144.62
2024,3,157.74,190.28,18,155.46,155.46,18,155.46,155.46
2024,4,161.18,197.78,14,197.78,197.78,14,197.78,197.78
2024,5,175.58,184.98,17,175.58,175.58,17,175.58,175.58
2024,6,149.6,164.0,7,143.88,143.88,7,143.88,143.88
2024,7,129.58,134.56,13,129.58,129.58,12,129.58,129.58
2024,8,155.32,164.18,6,139.72,139.72,6,139.72,139.72
2024,9,174.66,196.92,13,196.92,196.92,10,196.92,196.92
2024,10,130.58,155.92,15,137.56,137.56,13,137.56,137.56
2024,11,194.44,194.44,6,149.8,149.8,5,132.48,132.48
2024,12,185.08,185.08,19,163.7,163.7,17,163.7,163.7
2024,13,144.38,149.36,31,149.36,149.36,26,149.36,149.36
2024,14,180.78,205.88,22,178.28,178.28,21,178.28,178.28
2024,15,165.86,188.96,25,182.56,182.56,24,182.56,182.56
2024,16,194.22,194.22,25,194.22,194.22,23,184.36,184.36
2024,17,224.36,224.36,25,224.36,224.36,25,224.36,224.36
2024,18,186.54,186.54,27,167.86,167.86,23,167.86,167.86
