name,team,pos,pts,detail,game,status,nn
Malik Willis,MIA,,14.1,12/21 161yd 0TD 1INT; 4car 27yd 1TD,LV@MIA,In Progress,malik willis
De'Von Achane,MIA,,9.1,11car 36yd 0TD; 3rec 25yd 0TD (tgt 4),LV@MIA,In Progress,devon achane
Jaylen Wright,MIA,,-0.1,1car -1yd 0TD,LV@MIA,In Progress,jaylen wright
Caleb Douglas,MIA,,14.4,5rec 94yd 0TD (tgt 6),LV@MIA,In Progress,caleb douglas
Chris Bell,MIA,,3.5,1rec 25yd 0TD (tgt 2),LV@MIA,In Progress,chris bell
Greg Dulcich,MIA,,3.8,2rec 18yd 0TD (tgt 2),LV@MIA,In Progress,greg dulcich
Will Kacmarek,MIA,,0.0,0rec 0yd 0TD (tgt 1),LV@MIA,In Progress,will kacmarek
Malik Washington,MIA,,0.9,1rec -1yd 0TD (tgt 6),LV@MIA,In Progress,malik washington
Jacob Rodriguez,MIA,,0.0,,LV@MIA,In Progress,jacob rodriguez
Chris Johnson,MIA,,0.0,,LV@MIA,In Progress,chris johnson
Jordyn Brooks,MIA,,0.0,,LV@MIA,In Progress,jordyn brooks
Zayne Anderson,MIA,,0.0,,LV@MIA,In Progress,zayne anderson
JuJu Brents,MIA,,0.0,,LV@MIA,In Progress,juju brents
Jason Marshall Jr.,MIA,,0.0,,LV@MIA,In Progress,jason marshall
Josh Uche,MIA,,0.0,,LV@MIA,In Progress,josh uche
Michael Taaffe,MIA,,0.0,,LV@MIA,In Progress,michael taaffe
Jordan Phillips,MIA,,0.0,,LV@MIA,In Progress,jordan phillips
Dante Trader Jr.,MIA,,0.0,,LV@MIA,In Progress,dante trader
Tucker Addington,MIA,,0.0,,LV@MIA,In Progress,tucker addington
Riley Patterson,MIA,,0.0,,LV@MIA,In Progress,riley patterson
Zach Sieler,MIA,,0.0,,LV@MIA,In Progress,zach sieler
Malik Herring,MIA,,0.0,,LV@MIA,In Progress,malik herring
Robert Beal Jr.,MIA,,0.0,,LV@MIA,In Progress,robert beal
Clelin Ferrell,MIA,,0.0,,LV@MIA,In Progress,clelin ferrell
Willie Gay Jr.,MIA,,0.0,,LV@MIA,In Progress,willie gay
Chop Robinson,MIA,,0.0,,LV@MIA,In Progress,chop robinson
Zeek Biggers,MIA,,0.0,,LV@MIA,In Progress,zeek biggers
Bradley Pinion,MIA,,0.0,,LV@MIA,In Progress,bradley pinion
Kirk Cousins,LV,,16.4,21/30 160yd 3TD 2INT; 2car 0yd 0TD,LV@MIA,In Progress,kirk cousins
Ashton Jeanty,LV,,36.0,21car 105yd 0TD; 6rec 45yd 2TD (tgt 6),LV@MIA,In Progress,ashton jeanty
Mike Washington Jr.,LV,,3.8,6car 38yd 0TD,LV@MIA,In Progress,mike washington
Connor Heyward,LV,,0.1,1car 1yd 0TD,LV@MIA,In Progress,connor heyward
