book,n,best,best30,mean,cash_165.5,ge200
ENTERED v6b,80,196.24,182.0,144.9,18,0
counterfactual v4b (scratches only),80,224.54,203.84,146.0,19,2
v5 proven incl. QBs,80,196.24,180.26,145.6,20,0
v3 before Warren swap,80,224.54,203.84,146.0,19,2
paid K90 vetted order (09:10 build),90,226.64,226.64,145.8,20,2
composite (09:10 build),90,226.64,226.64,145.8,20,2
hybrid15 (09:10 build),30,226.64,226.64,151.0,11,1
paid K90 vetted order (10:50 build),90,226.64,226.64,145.9,22,2
composite (10:50 build),90,226.64,226.64,145.9,22,2
hybrid15 (10:50 build),30,226.64,226.64,150.0,9,1
learned-book (09:10 K90),90,226.64,226.64,145.8,20,2
learned-pool (09:10 K90),90,214.5,191.6,159.8,36,1
learned-div5 (09:10 K90),90,228.76,194.6,152.1,24,2
learned-div5-exp40 (09:10 K90),90,228.76,194.6,147.6,23,2
blend-q99 (09:10 K90),90,214.5,214.5,165.0,46,3
blend-div5 (09:10 K90),90,228.76,228.76,152.4,27,3
union (09:10 K90),90,226.64,226.64,156.1,32,3
today-30 (09:10 K90),30,226.64,226.64,146.5,9,1
paid-vetted-90 (09:10 K90),90,226.64,226.64,145.8,20,2
learned-book (11:04 K90 final),90,224.54,224.54,144.6,20,2
learned-pool (11:04 K90 final),90,204.5,196.4,159.6,39,1
learned-div5 (11:04 K90 final),90,228.5,228.5,152.4,31,5
learned-div5-exp40 (11:04 K90 final),90,228.5,228.5,142.1,26,4
blend-q99 (11:04 K90 final),90,216.2,191.4,161.2,38,1
blend-div5 (11:04 K90 final),90,228.5,216.2,156.9,32,6
union (11:04 K90 final),90,203.84,203.84,156.5,40,1
today-30 (11:04 K90 final),30,196.4,196.4,143.9,12,0
paid-vetted-90 (11:04 K90 final),90,224.54,203.84,144.6,20,2
