contest_id,QB,RB,RB,WR,WR,WR,TE,FLEX,DST
193028206,43727245,43727329,43727325,43727631,43727779,43727735,43728241,43727335,43728531
193028206,43727240,43727325,43727343,43727703,43727657,43727693,43728277,43727339,43728526
193028206,43727246,43727355,43727399,43727635,43727699,43727645,43728257,43727325,43728526
193028206,43727242,43727351,43727335,43727683,43727647,43727649,43728241,43727359,43728526
193028206,43727245,43727355,43727343,43727675,43727639,43727633,43728241,43727363,43728535
193028206,43727236,43727355,43727329,43727757,43727631,43727779,43728237,43727325,43728535
193028206,43727250,43727353,43727325,43727683,43727667,43727637,43728251,43727651,43728526
193028206,43727251,43727341,43727365,43727639,43727661,43727707,43728219,43727651,43728526
193028206,43727248,43727351,43727335,43727633,43727723,43727657,43728247,43727343,43728526
193028206,43727242,43727359,43727339,43727683,43727631,43727639,43728245,43727649,43728547
193028206,43727236,43727341,43727371,43727697,43727645,43727675,43728237,43727327,43728535
193028206,43727241,43727355,43727325,43727637,43727633,43727653,43728229,43727835,43728547
193028206,43727244,43727371,43727353,43727641,43727655,43727681,43728227,43727331,43728526
193028206,43727247,43727329,43727387,43727665,43727639,43727645,43728221,43727683,43728526
193028206,43727243,43727351,43727349,43727631,43727669,43727671,43728231,43727693,43728526
193028206,43727254,43727337,43727325,43727631,43727719,43727723,43728277,43727343,43728526
193028206,43727245,43727355,43727331,43727639,43727779,43727661,43728277,43727325,43728526
193028206,43727235,43727355,43727369,43727683,43727697,43727647,43728237,43727631,43728526
193028206,43727237,43727333,43727335,43727663,43727641,43727727,43728241,43727669,43728526
193028206,43727242,43727361,43727333,43727633,43727699,43727649,43728243,43727359,43728526
193028206,43727254,43727341,43727335,43727719,43727735,43727645,43728217,43727343,43728529
193028206,43727246,43727371,43727327,43727635,43727695,43727645,43728257,43727657,43728526
193028206,43727248,43727327,43727335,43727637,43727651,43728009,43728247,43727343,43728526
193028206,43727245,43727355,43727325,43727631,43727633,43727779,43728241,43727735,43728526
193028206,43727249,43727329,43727369,43727675,43727701,43727645,43728253,43727327,43728526
193028206,43727243,43727331,43727357,43727729,43727637,43727633,43728245,43727671,43728526
193028206,43727242,43727337,43727359,43727683,43727641,43727631,43728243,43727727,43728526
193028206,43727251,43727351,43727399,43727631,43727707,43727651,43728229,43727343,43728526
193028206,43727241,43727355,43727373,43727663,43727633,43727693,43728229,43727343,43728526
193028206,43727234,43727365,43727351,43727667,43950119,43727651,43728225,43727331,43728526
193028206,43727246,43727337,43727353,43727683,43727635,43727659,43728227,43727359,43728535
193028206,43727240,43727355,43727329,43727703,43727657,43727693,43728237,43727339,43728526
193028206,43727245,43727341,43727325,43727631,43727639,43727735,43728237,43728241,43728526
193028206,43727252,43727337,43727335,43727641,43727661,43727679,43728259,43727343,43728526
193028206,43727237,43727365,43727373,43727641,43727645,43727707,43728233,43727339,43728526
193028206,43727250,43727353,43727331,43727637,43727699,43727673,43728251,43727335,43728526
193028206,43727235,43727371,43727333,43727631,43727707,43727649,43728263,43727693,43728526
193028206,43727244,43727327,43727335,43727655,43727695,43727703,43728257,43727343,43728526
193028206,43727238,43727353,43727373,43824688,43727663,43727667,43728233,43727325,43728526
193028206,43727241,43727337,43727355,43727641,43727633,43727653,43728273,43727359,43728547
193028206,43727236,43727329,43727349,43727779,43727631,43727645,43728231,43727737,43728526
193028206,43727246,43727371,43727363,43727655,43727635,43727637,43728257,43727661,43728525
193028206,43727248,43727329,43727333,43727635,43727735,43727723,43728247,43727335,43728526
193028206,43727245,43727337,43727325,43727667,43727639,43727779,43728227,43727649,43728535
193028206,43727243,43727335,43727343,43727729,43727647,43727633,43728245,43727669,43728526
193028206,43727235,43727351,43727343,43727631,43727735,43727649,43728263,43727673,43728526
193028206,43727299,43727355,43727333,43727631,43727639,43727779,43728241,43727325,43728529
193028206,43727247,43727341,43727335,43727667,43727665,43727707,43728221,43727359,43728526
193028206,43727261,43727361,43727349,43727633,43727661,43727671,43728283,43727325,43728526
193028206,43727244,43727355,43727343,43727635,43727695,43727735,43728227,43727339,43728526
193028206,43727251,43727365,43727327,43727643,43727707,43727649,43728219,43727651,43728535
193028206,43727240,43727351,43727369,43727675,43727703,43727657,43728217,43727357,43728526
193028206,43727242,43727331,43727359,43727683,43727631,43727645,43728243,43728225,43728526
193028206,43727237,43727337,43727339,43727641,43727781,43727657,43728233,43727649,43728526
193028206,43727236,43727355,43727339,43727779,43727653,43727645,43728221,43727657,43728526
193028206,43727250,43727353,43727331,43727637,43727639,43950119,43728245,43727657,43728526
193028206,43727237,43727329,43727369,43727683,43727663,43727641,43728233,43727673,43728526
193028208,43727247,43727341,43727329,43727667,43727665,43727681,43728227,43727657,43728526
193028208,43727245,43727355,43727331,43727667,43727639,43727653,43728241,43727659,43728526
193028208,43727251,43727371,43727351,43727635,43727707,43727651,43728257,43727325,43728526
193028208,43727242,43727337,43727365,43727683,43727631,43727649,43728219,43727693,43728547
193028208,43727241,43727365,43727399,43727683,43727639,43727633,43728275,43727325,43728526
193028208,43727250,43727337,43727349,43727667,43727637,43727727,43728251,43727327,43728526
193028208,43727254,43727361,43727325,43727641,43727719,43727649,43728277,43727335,43728526
193028208,43727249,43727327,43727339,43727697,43727631,43727661,43728253,43728223,43728526
193028208,43727235,43727333,43727359,43727637,43727735,43727631,43728263,43727709,43728526
193028208,43727248,43727327,43727335,43727631,43727633,43727735,43728247,43728009,43728526
193028208,43727246,43727399,43727357,43727641,43727635,43727665,43728257,43727343,43728526
193028208,43727241,43727355,43727325,43727653,43727657,43727693,43728229,43727679,43728526
193028208,43727237,43727341,43727337,43727683,43727641,43727727,43728231,43727373,43728526
193028208,43727245,43727325,43727339,43727779,43727631,43727639,43728241,43727735,43728526
193028208,43727251,43727329,43727335,43727659,43727707,43727693,43728219,43727651,43728526
193028208,43727243,43727371,43727355,43727641,43727669,43727671,43728231,43727331,43728526
193028208,43727240,43727341,43727361,43727655,43727703,43727657,43728217,43727399,43728526
193028208,43727242,43727361,43727325,43727683,43727647,43727649,43728257,43727359,43728526
193028208,43727245,43727325,43727327,43727631,43727779,43727735,43728241,43727343,43728531
193028208,43727241,43727361,43727369,43727633,43727779,43727653,43728221,43727335,43728526
194478066,43727237,43727349,43727369,43727641,43727631,43727695,43728233,43728235,43728526
194478066,43727246,43727353,43727383,43727655,43727635,43727633,43728257,43727335,43728547
194478066,43727239,43727365,43727351,43727635,43727677,43727673,43728219,43727369,43728529
