lineup,contest_id,official_points,place,field,winnings
1,193028206,145.7,370288,832342,0.0
2,193028206,146.26,363661,832342,0.0
3,193028206,161.22,209666,832342,0.0
4,193028206,137.84,459313,832342,0.0
5,193028206,182.0,69580,832342,8.0
6,193028206,152.46,296460,832342,0.0
7,193028206,170.46,135563,832342,8.0
8,193028206,175.34,103815,832342,8.0
9,193028206,167.8,154852,832342,8.0
10,193028206,109.54,723361,832342,0.0
11,193028206,178.86,84675,832342,8.0
12,193028206,136.64,473002,832342,0.0
13,193028206,152.98,291046,832342,0.0
14,193028206,143.04,400421,832342,0.0
15,193028206,135.2,489047,832342,0.0
16,193028206,133.9,503671,832342,0.0
17,193028206,178.7,85534,832342,8.0
18,193028206,102.36,762620,832342,0.0
19,193028206,117.22,668080,832342,0.0
20,193028206,126.54,582456,832342,0.0
21,193028206,167.3,158696,832342,8.0
22,193028206,165.92,169611,832342,8.0
23,193028206,145.5,372533,832342,0.0
24,193028206,165.5,172825,832342,8.0
25,193028206,159.34,227100,832342,0.0
26,193028206,135.7,483427,832342,0.0
27,193028206,87.04,811016,832342,0.0
28,193028206,169.04,145792,832342,8.0
29,193028206,138.74,449247,832342,0.0
30,193028206,180.26,77604,832342,8.0
31,193028206,121.82,627830,832342,0.0
32,193028206,113.56,696082,832342,0.0
33,193028206,180.5,76484,832342,8.0
34,193028206,119.4,649521,832342,0.0
35,193028206,152.62,295000,832342,0.0
36,193028206,128.86,558345,832342,0.0
37,193028206,104.06,754489,832342,0.0
38,193028206,192.08,34838,832342,10.0
39,193028206,176.36,97884,832342,8.0
40,193028206,120.64,638710,832342,0.0
41,193028206,156.06,259269,832342,0.0
42,193028206,139.02,445987,832342,0.0
43,193028206,130.2,544143,832342,0.0
44,193028206,184.7,58581,832342,8.0
45,193028206,157.3,246727,832342,0.0
46,193028206,147.76,346930,832342,0.0
47,193028206,142.9,401950,832342,0.0
48,193028206,148.14,342975,832342,0.0
49,193028206,138.5,451889,832342,0.0
50,193028206,156.58,254187,832342,0.0
51,193028206,151.64,305263,832342,0.0
52,193028206,154.16,278523,832342,0.0
53,193028206,125.94,588424,832342,0.0
54,193028206,138.42,452832,832342,0.0
55,193028206,152.96,291084,832342,0.0
56,193028206,155.26,267407,832342,0.0
57,193028206,141.72,415614,832342,0.0
58,193028208,160.84,40204,158541,0.0
59,193028208,145.0,71952,158541,0.0
60,193028208,196.24,4872,158541,8.0
61,193028208,74.44,157372,158541,0.0
62,193028208,168.14,28769,158541,5.0
63,193028208,150.36,60463,158541,0.0
64,193028208,115.9,129869,158541,0.0
65,193028208,107.64,140503,158541,0.0
66,193028208,120.46,122398,158541,0.0
67,193028208,132.9,98370,158541,0.0
68,193028208,148.62,63987,158541,0.0
69,193028208,131.64,101143,158541,0.0
70,193028208,127.12,110319,158541,0.0
71,193028208,162.5,37432,158541,0.0
72,193028208,109.74,138017,158541,0.0
73,193028208,123.8,116551,158541,0.0
74,193028208,153.06,54741,158541,0.0
75,193028208,133.04,98092,158541,0.0
76,193028208,176.0,18872,158541,5.0
77,193028208,126.64,111165,158541,0.0
78,194478066,122.12,3995,5000,0.0
79,194478066,153.72,2093,5000,0.0
80,194478066,151.06,2253,5000,0.0
